CountryCode,CountryName,CoverageType,RequestYear,DataYear,DataType,PovertyLine,HeadCount,PovGap,PovGapSqr,ReqYearPopulation,PovertyLine.extreme,HeadCount.extreme,PovGap.extreme,PovGapSqr.extreme
ARM,Armenia,N,2005,2005,X,3.4247,0.3236236,0.07687405,0.02795538,2.981259,1.9,0.04452266,0.009067995,0.003170111
ARM,Armenia,N,2008,2008,X,3.4247,0.1797634,0.03542961,0.01143018,2.90822,1.9,0.01357321,0.002889761,0.0009856588
ARM,Armenia,N,2010,2010,X,3.4247,0.2529511,0.05267439,0.01655613,2.877311,1.9,0.01903291,0.002909048,0.0008035571
ARM,Armenia,N,2011,2011,X,3.4247,0.234505,0.049457,0.01605472,2.875581,1.9,0.02213477,0.003468121,0.000906169
ARM,Armenia,N,2012,2012,X,3.4247,0.2141221,0.04414985,0.01412868,2.881922,1.9,0.01579596,0.002675307,0.0008342812
ARM,Armenia,N,2013,2013,X,3.4247,0.1972588,0.04478905,0.01584283,2.893509,1.9,0.02240529,0.005215413,0.001793036
ARM,Armenia,N,2015,2015,X,3.4247,0.1703355,0.03808167,0.01331574,2.91695,1.9,0.0186327,0.003501718,0.001160052
AZE,Azerbaijan,N,1981,1995,X,3.468975,0.03294844,0.009831208,0.004760693,6.24932,1.9,0.006565203,0.002922034,0.001702278
AZE,Azerbaijan,N,1984,1995,X,3.468975,0.02590372,0.007579857,0.003795238,6.557585,1.9,0.005287195,0.002597424,0.001443867
AZE,Azerbaijan,N,1987,1995,X,3.468975,0.02067529,0.006378667,0.003295152,6.8935,1.9,0.005076344,0.002407966,0.001276545
AZE,Azerbaijan,N,1990,1995,X,3.468975,0.03294844,0.0101297,0.004894645,7.159,1.9,0.006565203,0.002969075,0.001734182
AZE,Azerbaijan,N,1993,1995,X,3.468975,0.1388498,0.03943933,0.01785651,7.495,1.9,0.03243883,0.009587803,0.004654397
AZE,Azerbaijan,N,1996,,X,3.468975,0.3038511,0.09017299,0.03990529,7.763,1.9,0.06752116,0.01887835,0.008623606
AZE,Azerbaijan,N,1999,,X,3.468975,0.2480673,0.06562014,0.02591382,7.98275,1.9,0.04128207,0.009414535,0.003731817
AZE,Azerbaijan,N,2002,2002,X,3.468975,0.01198132,0.001407865,0.0003357599,8.17195,1.9,0.000428381,2.178433e-05,1.420063e-06
AZE,Azerbaijan,N,2005,2005,X,3.468975,0.001444742,8.029509e-05,8.442977e-06,8.39185,1.9,0,0,0
AZE,Azerbaijan,N,2008,2005,X,3.468975,0,0,0,8.7634,1.9,0,0,0
AZE,Azerbaijan,N,2010,2005,X,3.468975,0,0,0,9.054332,1.9,0,0,0
AZE,Azerbaijan,N,2011,2005,X,3.468975,0,0,0,9.173082,1.9,0,0,0
AZE,Azerbaijan,N,2012,2005,X,3.468975,0,0,0,9.295784,1.9,0,0,0
AZE,Azerbaijan,N,2013,2005,X,3.468975,0,0,0,9.416801,1.9,0,0,0
AZE,Azerbaijan,N,2015,2005,X,3.468975,0,0,0,9.649341,1.9,0,0,0
BDI,Burundi,N,1981,1992,X,1.76213,0.8163287,0.3731898,0.2055233,4.223195,1.9,0.846181,0.4064688,0.231362
BDI,Burundi,N,1984,1992,X,1.76213,0.8373137,0.3960866,0.2231587,4.571292,1.9,0.8642078,0.4291169,0.2497178
BDI,Burundi,N,1987,1992,X,1.76213,0.7902714,0.3474857,0.1864522,4.987736,1.9,0.8235907,0.3808674,0.2113676
BDI,Burundi,N,1990,1992,X,1.76213,0.7832699,0.3410146,0.1817688,5.415415,1.9,0.8174801,0.3743908,0.206433
BDI,Burundi,N,1993,,X,1.76213,0.7878748,0.3524665,0.1934795,5.771398,1.9,0.8202738,0.3852738,0.2180677
BDI,Burundi,N,1996,,X,1.76213,0.8123862,0.4005595,0.2396284,6.041112,1.9,0.842651,0.4315452,0.2643584
BDI,Burundi,N,1999,,X,1.76213,0.80904,0.4138187,0.2565571,6.27894,1.9,0.839168,0.4436432,0.2806894
BDI,Burundi,N,2002,,X,1.76213,0.7781442,0.360368,0.2056334,6.741569,1.9,0.8092663,0.3918732,0.2295346
BDI,Burundi,N,2005,,X,1.76213,0.762972,0.3237943,0.16592,7.423289,1.9,0.7974675,0.3569524,0.1903762
BDI,Burundi,N,2008,,X,1.76213,0.7342421,0.2939854,0.1436749,8.212264,1.9,0.7670111,0.3271059,0.1670738
BDI,Burundi,N,2010,,X,1.76213,0.7158522,0.2871735,0.1426428,8.76693,1.9,0.7505108,0.3196584,0.1651823
BDI,Burundi,N,2011,,X,1.76213,0.7085451,0.2858117,0.1434965,9.043508,1.9,0.7463444,0.3179359,0.165698
BDI,Burundi,N,2012,,X,1.76213,0.6972521,0.2813475,0.1422524,9.31971,1.9,0.7372104,0.3130202,0.16397
BDI,Burundi,N,2013,,X,1.76213,0.6842581,0.2739664,0.1390831,9.600186,1.9,0.72202,0.3051087,0.1601735
BDI,Burundi,N,2015,2013.5,X,1.76213,0.712905,0.2990587,0.1568487,10.19927,1.9,0.7483729,0.3304504,0.178984
BEN,Benin,N,1981,2003,X,0.9336992,0.1500512,0.03334208,0.0114519,3.820128,1.9,0.5748022,0.2072407,0.09784739
BEN,Benin,N,1984,2003,X,0.9336992,0.162503,0.03705549,0.01285722,4.156819,1.9,0.5898921,0.2185341,0.1046585
BEN,Benin,N,1987,2003,X,0.9336992,0.1665359,0.03809552,0.01325757,4.535263,1.9,0.5940922,0.2215701,0.1065276
BEN,Benin,N,1990,2003,X,0.9336992,0.1678101,0.03845029,0.01339514,4.978496,1.9,0.5973486,0.2225992,0.1071631
BEN,Benin,N,1993,2003,X,0.9336992,0.1582542,0.03547279,0.01225177,5.521763,1.9,0.5846975,0.2137972,0.1017741
BEN,Benin,N,1996,2003,X,0.9336992,0.1488781,0.03280114,0.01124999,6.094259,1.9,0.5729636,0.2055318,0.09683371
BEN,Benin,N,1999,2003,X,0.9336992,0.1232729,0.0266798,0.009011439,6.664098,1.9,0.5359916,0.1850227,0.08487567
BEN,Benin,N,2002,2003,X,0.9336992,0.1004293,0.02109733,0.006991745,7.295394,1.9,0.4904208,0.1634373,0.07270734
BEN,Benin,N,2005,,X,0.9336992,0.1109762,0.02419501,0.008173974,7.982225,1.9,0.5040376,0.1725581,0.07829063
BEN,Benin,N,2008,,X,0.9336992,0.1107822,0.02432605,0.008253242,8.696916,1.9,0.4972227,0.1703054,0.077409
BEN,Benin,N,2010,,X,0.9336992,0.1276864,0.02858488,0.009833793,9.199259,1.9,0.5227209,0.1851925,0.08604421
BEN,Benin,N,2011,,X,0.9336992,0.1334425,0.03000994,0.01036339,9.460802,1.9,0.5305174,0.1899559,0.08884029
BEN,Benin,N,2012,,X,0.9336992,0.1445912,0.04378962,0.02066273,9.72916,1.9,0.5246182,0.1959651,0.09856638
BEN,Benin,N,2013,,X,0.9336992,0.1620955,0.06438532,0.03602993,10.004451,1.9,0.5145687,0.2049975,0.1131378
BEN,Benin,N,2015,2015,X,0.9336992,0.1972998,0.1057324,0.06680917,10.575952,1.9,0.4952181,0.2235895,0.1425923
BFA,Burkina Faso,N,1981,1994.25,X,0.9918973,0.6577001,0.285165,0.1506387,6.98516,1.9,0.8562206,0.5211241,0.3539272
BFA,Burkina Faso,N,1984,1994.25,X,0.9918973,0.6570254,0.2845851,0.1502201,7.531242,1.9,0.8556636,0.5206026,0.3534066
BFA,Burkina Faso,N,1987,1994.25,X,0.9918973,0.6274043,0.2555073,0.1298779,8.140073,1.9,0.8394116,0.4939621,0.3272932
BFA,Burkina Faso,N,1990,1994.25,X,0.9918973,0.6301735,0.2583465,0.1318045,8.811034,1.9,0.8414567,0.4965991,0.3298405
BFA,Burkina Faso,N,1993,1994.25,X,0.9918973,0.6100731,0.242653,0.1212976,9.552476,1.9,0.8301148,0.4819245,0.3157302
BFA,Burkina Faso,N,1996,,X,0.9918973,0.561696,0.2084177,0.1014282,10.372745,1.9,0.8207686,0.4533582,0.2868876
BFA,Burkina Faso,N,1999,,X,0.9918973,0.4101712,0.13485,0.0621728,11.282701,1.9,0.7612143,0.3654404,0.2123031
BFA,Burkina Faso,N,2002,,X,0.9918973,0.3150987,0.09099176,0.03938571,12.2931,1.9,0.6568573,0.2900584,0.1594212
BFA,Burkina Faso,N,2005,,X,0.9918973,0.1990097,0.05507299,0.02212514,13.42193,1.9,0.5662126,0.224319,0.1130872
BFA,Burkina Faso,N,2008,,X,0.9918973,0.1656066,0.03995512,0.01462602,14.689726,1.9,0.5440431,0.1964257,0.09296723
BFA,Burkina Faso,N,2010,,X,0.9918973,0.1414073,0.03183258,0.01105602,15.605217,1.9,0.5373704,0.1829573,0.08284388
BFA,Burkina Faso,N,2011,,X,0.9918973,0.1134071,0.02319953,0.007689593,16.081904,1.9,0.5116243,0.161726,0.06943872
BFA,Burkina Faso,N,2012,,X,0.9918973,0.0845664,0.0159041,0.004957033,16.571216,1.9,0.4810306,0.1412306,0.05712012
BFA,Burkina Faso,N,2013,,X,0.9918973,0.06104385,0.01008171,0.002819394,17.072723,1.9,0.4539831,0.1233155,0.0466292
BFA,Burkina Faso,N,2015,2014,X,0.9918973,0.04223465,0.005307339,0.001081721,18.110624,1.9,0.42801,0.1078205,0.03765366
BGD,Bangladesh,N,1981,1983.5,X,1.383984,0.0936652,0.01816276,0.006482814,83.721268,1.9,0.2703621,0.06238936,0.02062749
BGD,Bangladesh,N,1984,,X,1.383984,0.09002056,0.0166723,0.005701858,90.732362,1.9,0.2731214,0.06080347,0.01974277
BGD,Bangladesh,N,1987,,X,1.383984,0.1110521,0.01744859,0.004070435,98.343809,1.9,0.3171692,0.06962557,0.02196183
BGD,Bangladesh,N,1990,,X,1.383984,0.1577846,0.02724519,0.00717367,106.188642,1.9,0.3849684,0.0933758,0.03174539
BGD,Bangladesh,N,1993,,X,1.383984,0.150392,0.02768776,0.00803115,113.695139,1.9,0.3879686,0.09254772,0.03187668
BGD,Bangladesh,N,1996,,X,1.383984,0.1377118,0.02448319,0.006942988,121.269645,1.9,0.3713685,0.08546087,0.02888114
BGD,Bangladesh,N,1999,,X,1.383984,0.1372123,0.02412933,0.006703547,129.029691,1.9,0.3725241,0.0869047,0.02903915
BGD,Bangladesh,N,2002,,X,1.383984,0.1174508,0.01892163,0.004942116,136.600667,1.9,0.3393498,0.0755759,0.02410134
BGD,Bangladesh,N,2005,2005,X,1.383984,0.06847645,0.009683483,0.002325488,143.431101,1.9,0.2573436,0.05074974,0.01457673
BGD,Bangladesh,N,2008,,X,1.383984,0.05185429,0.007092805,0.001642889,148.805814,1.9,0.2141418,0.03966362,0.01101732
BGD,Bangladesh,N,2010,2010,X,1.383984,0.04880117,0.006342887,0.001437735,152.149102,1.9,0.1963112,0.03600712,0.009937433
BGD,Bangladesh,N,2011,,X,1.383984,0.04422339,0.005916873,0.001381062,153.911916,1.9,0.1846992,0.03334225,0.00921592
BGD,Bangladesh,N,2012,,X,1.383984,0.0429292,0.005889671,0.001406364,155.727053,1.9,0.1787698,0.03219163,0.008980884
BGD,Bangladesh,N,2013,,X,1.383984,0.04053715,0.005713677,0.001386864,157.571292,1.9,0.1684197,0.0304993,0.008563569
BGD,Bangladesh,N,2015,,X,1.383984,0.03627713,0.005421559,0.001337462,161.200886,1.9,0.151553,0.02752133,0.007834231
BLR,Belarus,N,1981,1993,Y,3.008408,0.01532148,0.00185821,0.0004530948,9.71,1.9,0.0006991259,0.0001474249,6.630667e-05
BLR,Belarus,N,1984,1993,Y,3.008408,0.006667151,0.0008856088,0.0002456677,9.91,1.9,0.0004220304,0.000101729,5.268957e-05
BLR,Belarus,N,1987,1993,Y,3.008408,0.005299148,0.0007284285,0.0002104818,10.111,1.9,0.0003653808,9.259571e-05,4.989441e-05
