"","Year","Pop","CPI","ISO","R.Pop","U.Pop","R.CPI","U.CPI"
"1",2017,"2.879",NA,"ALB",NA,NA,NA,NA
"2",2016,"2.8761",1.09107,"ALB",NA,NA,NA,NA
"3",2015,"2.8807",1.07725,"ALB",NA,NA,NA,NA
"4",2014,"2.8891",1.05706,"ALB",NA,NA,NA,NA
"5",2013,"2.89509",NA,"ALB",NA,NA,NA,NA
"6",2012,"2.9004",1.02032,"ALB",NA,NA,NA,NA
"7",2011,"2.9052",NA,"ALB",NA,NA,NA,NA
"8",2010,"2.91302",NA,"ALB",NA,NA,NA,NA
"9",2009,"2.92752",NA,"ALB",NA,NA,NA,NA
"10",2008,"2.94731",0.912674,"ALB",NA,NA,NA,NA
"11",2007,"2.97002",NA,"ALB",NA,NA,NA,NA
"12",2006,"2.99255",NA,"ALB",NA,NA,NA,NA
"13",2005,"3.01149",0.837987,"ALB",NA,NA,NA,NA
"14",2004,"3.02694",NA,"ALB",NA,NA,NA,NA
"15",2003,"3.03962",NA,"ALB",NA,NA,NA,NA
"16",2002,"3.05101",0.779835,"ALB",NA,NA,NA,NA
"17",2001,"3.06017",NA,"ALB",NA,NA,NA,NA
"18",2000,"3.08903",NA,"ALB",NA,NA,NA,NA
"19",1999,"3.10878",NA,"ALB",NA,NA,NA,NA
"20",1998,"3.12853",NA,"ALB",NA,NA,NA,NA
"21",1997,"3.14828",NA,"ALB",NA,NA,NA,NA
"22",1996,"3.16803",0.444175,"ALB",NA,NA,NA,NA
"23",1995,"3.18778",NA,"ALB",NA,NA,NA,NA
"24",1994,"3.20754",NA,"ALB",NA,NA,NA,NA
"25",1993,"3.22729",NA,"ALB",NA,NA,NA,NA
"26",1992,"3.24704",NA,"ALB",NA,NA,NA,NA
"27",1991,"3.26679",NA,"ALB",NA,NA,NA,NA
"28",1990,"3.28654",NA,"ALB",NA,NA,NA,NA
"29",1989,"3.22794",NA,"ALB",NA,NA,NA,NA
"30",1988,"3.14234",NA,"ALB",NA,NA,NA,NA
"31",1987,"3.08361",NA,"ALB",NA,NA,NA,NA
"32",1986,"3.02264",NA,"ALB",NA,NA,NA,NA
"33",1985,"2.96476",NA,"ALB",NA,NA,NA,NA
"34",1984,"2.90443",NA,"ALB",NA,NA,NA,NA
"35",1983,"2.84396",NA,"ALB",NA,NA,NA,NA
"36",1982,"2.78428",NA,"ALB",NA,NA,NA,NA
"37",1981,"2.72606",NA,"ALB",NA,NA,NA,NA
"38",1980,"2.672",NA,"ALB",NA,NA,NA,NA
"39",2017,"41.318",NA,"DZA",NA,NA,NA,NA
"40",2016,"40.6061",NA,"DZA",NA,NA,NA,NA
"41",2015,"39.8715",NA,"DZA",NA,NA,NA,NA
"42",2014,"39.1133",NA,"DZA",NA,NA,NA,NA
"43",2013,"38.3386",NA,"DZA",NA,NA,NA,NA
"44",2012,"37.5658",NA,"DZA",NA,NA,NA,NA
"45",2011,"36.8196",1.01512,"DZA",NA,NA,NA,NA
"46",2010,"36.1176",NA,"DZA",NA,NA,NA,NA
"47",2009,"35.4658",NA,"DZA",NA,NA,NA,NA
"48",2008,"34.8607",NA,"DZA",NA,NA,NA,NA
"49",2007,"34.3001",NA,"DZA",NA,NA,NA,NA
"50",2006,"33.7779",NA,"DZA",NA,NA,NA,NA
"51",2005,"33.2884",NA,"DZA",NA,NA,NA,NA
"52",2004,"32.8311",NA,"DZA",NA,NA,NA,NA
"53",2003,"32.4035",NA,"DZA",NA,NA,NA,NA
"54",2002,"31.995",NA,"DZA",NA,NA,NA,NA
"55",2001,"31.5922",NA,"DZA",NA,NA,NA,NA
"56",2000,"31.1837",NA,"DZA",NA,NA,NA,NA
"57",1999,"30.7656",NA,"DZA",NA,NA,NA,NA
"58",1998,"30.3357",NA,"DZA",NA,NA,NA,NA
"59",1997,"29.8868",NA,"DZA",NA,NA,NA,NA
"60",1996,"29.4114",NA,"DZA",NA,NA,NA,NA
"61",1995,"28.9043",0.496834,"DZA",NA,NA,NA,NA
"62",1994,"28.3623",NA,"DZA",NA,NA,NA,NA
"63",1993,"27.7863",NA,"DZA",NA,NA,NA,NA
"64",1992,"27.1811",NA,"DZA",NA,NA,NA,NA
"65",1991,"26.5543",NA,"DZA",NA,NA,NA,NA
"66",1990,"25.9124",NA,"DZA",NA,NA,NA,NA
"67",1989,"25.2577",NA,"DZA",NA,NA,NA,NA
"68",1988,"24.5915",0.116447,"DZA",NA,NA,NA,NA
"69",1987,"23.9179",NA,"DZA",NA,NA,NA,NA
"70",1986,"23.2413",NA,"DZA",NA,NA,NA,NA
"71",1985,"22.5659",NA,"DZA",NA,NA,NA,NA
"72",1984,"21.8939",NA,"DZA",NA,NA,NA,NA
"73",1983,"21.2283",NA,"DZA",NA,NA,NA,NA
"74",1982,"20.5757",NA,"DZA",NA,NA,NA,NA
"75",1981,"19.9437",NA,"DZA",NA,NA,NA,NA
"76",1980,"19.3377",NA,"DZA",NA,NA,NA,NA
"77",2017,"29.784",NA,"AGO","16.209","13.575",NA,NA
"78",2016,"28.8135",NA,"AGO","15.8996","12.9139",NA,NA
"79",2015,"27.8593",NA,"AGO","15.5873","12.272",NA,NA
"80",2014,"26.9205",NA,"AGO","15.2709","11.6496",NA,NA
"81",2013,"25.9983",NA,"AGO","14.9516","11.0467",NA,NA
"82",2012,"25.0962",NA,"AGO","14.6313","10.4648",NA,NA
"83",2011,"24.2186",NA,"AGO","14.3132","9.90539",NA,NA
"84",2010,"23.3691",NA,"AGO","13.9988","9.37032",NA,NA
"85",2009,"22.5495",NA,"AGO","13.6878","8.86175",NA,NA
"86",2008,"21.7594",0.723427,"AGO","13.3801","8.37934",NA,NA
"87",2007,"20.9977",NA,"AGO","13.0769","7.92075",NA,NA
"88",2006,"20.2624",NA,"AGO","12.7771","7.48534",NA,NA
"89",2005,"19.5525",NA,"AGO","12.4806","7.07196",NA,NA
"90",2004,"18.8657",NA,"AGO","12.1863","6.67941",NA,NA
"91",2003,"18.2034",NA,"AGO","11.8968","6.30656",NA,NA
"92",2002,"17.5726",NA,"AGO","11.6164","5.95625",NA,NA
"93",2001,"16.9833",NA,"AGO","11.353","5.63029",NA,NA
"94",2000,"16.4409",0.0338508,"AGO","11.1109","5.32998",NA,NA
"95",1999,"15.9498",NA,"AGO","10.895","5.0548",NA,NA
"96",1998,"15.5043",NA,"AGO","10.7019","4.80246",NA,NA
"97",1997,"15.089",NA,"AGO","10.5218","4.56713",NA,NA
"98",1996,"14.6823",NA,"AGO","10.3407","4.34155",NA,NA
"99",1995,"14.269",NA,"AGO","10.1481","4.12089",NA,NA
"100",1994,"13.8413",NA,"AGO","9.93805","3.90325",NA,NA
"101",1993,"13.4037",NA,"AGO","9.71369","3.69005",NA,NA
"102",1992,"12.9683",NA,"AGO","9.48349","3.48485",NA,NA
"103",1991,"12.5534",NA,"AGO","9.26181","3.29164",NA,NA
"104",1990,"12.1714",NA,"AGO","9.05774","3.1137",NA,NA
"105",1989,"11.8272",NA,"AGO","8.8761","2.95113",NA,NA
"106",1988,"11.514",NA,"AGO","8.71216","2.80181",NA,NA
"107",1987,"11.2183",NA,"AGO","8.55673","2.66153",NA,NA
"108",1986,"10.921",NA,"AGO","8.39522","2.52582",NA,NA
"109",1985,"10.609",NA,"AGO","8.21766","2.39138",NA,NA
"110",1984,"10.2773",NA,"AGO","8.01991","2.25741",NA,NA
"111",1983,"9.93156",NA,"AGO","7.80641","2.12516",NA,NA
"112",1982,"9.58216",NA,"AGO","7.58495","1.99721",NA,NA
"113",1981,"9.24451",NA,"AGO","7.36796","1.87654",NA,NA
"114",1980,"8.9299",NA,"AGO","7.16482","1.76508",NA,NA
"115",2017,"44.271",NA,"ARG","3.5284","40.7426",NA,NA
"116",2016,"43.8474",4.13457,"ARG","3.55471","40.2927",NA,NA
"117",2015,"43.4178",NA,"ARG","3.58153","39.8362",NA,NA
"118",2014,"42.9815",2.33234,"ARG","3.60873","39.3728",NA,NA
"119",2013,"42.5399",1.66181,"ARG","3.63631","38.9036",NA,NA
"120",2012,"42.0967",1.31168,"ARG","3.66452","38.4322",NA,NA
"121",2011,"41.6569",1.04649,"ARG","3.69372","37.9632",NA,NA
"122",2010,"41.2239",0.860075,"ARG","3.72417","37.4997",NA,NA
"123",2009,"40.7994",0.690382,"ARG","3.75559","37.0438",NA,NA
"124",2008,"40.3824",0.605765,"ARG","3.78706","36.5953",NA,NA
"125",2007,"39.9702",0.482679,"ARG","3.81915","36.1511",NA,NA
"126",2006,"39.5589",0.394219,"ARG","3.85066","35.7082",NA,NA
"127",2005,"39.1455",0.357184,"ARG","3.88167","35.2638",NA,NA
"128",2004,"38.7287",0.322517,"ARG","3.91199","34.8167",NA,NA
"129",2003,"38.3094",0.305507,"ARG","3.94204","34.3673",NA,NA
"130",2002,"37.8894",0.293915,"ARG","3.97118","33.9182",NA,NA
"131",2001,"37.4715",0.212308,"ARG","3.99858","33.4729",NA,NA
"132",2000,"37.0575",0.214676,"ARG","4.0237","33.0338",NA,NA
"133",1999,"36.6481",0.216184,"ARG","4.04888","32.5992",NA,NA
"134",1998,"36.2416",0.220705,"ARG","4.07392","32.1677",NA,NA
"135",1997,"35.834",0.218337,"ARG","4.09797","31.736",NA,NA
"136",1996,"35.4197",0.217045,"ARG","4.12073","31.299",NA,NA
"137",1995,"34.9948",0.216614,"ARG","4.14199","30.8528",NA,NA
"138",1994,"34.5581",0.212093,"ARG","4.1608","30.3973",NA,NA
"139",1993,"34.1109",0.204341,"ARG","4.17791","29.933",NA,NA
"140",1992,"33.6552",0.187761,"ARG","4.19276","29.4624",NA,NA
"141",1991,"33.1939",0.159123,"ARG","4.20633","28.9876",NA,NA
"142",1990,"32.7297",NA,"ARG","4.2601","28.4696",NA,NA
"143",1989,"32.2636",NA,"ARG","4.31912","27.9444",NA,NA
"144",1988,"31.7955",NA,"ARG","4.37729","27.4182",NA,NA
"145",1987,"31.3265",1.57499e-05,"ARG","4.43489","26.8916",NA,NA
"146",1986,"30.8572",6.80829e-06,"ARG","4.49127","26.366",NA,NA
"147",1985,"30.3888",NA,"ARG","4.54677","25.842",NA,NA
"148",1984,"29.9209",NA,"ARG","4.60154","25.3194",NA,NA
"149",1983,"29.4547",NA,"ARG","4.65562","24.7991",NA,NA
"150",1982,"28.994",NA,"ARG","4.70891","24.2851",NA,NA
"151",1981,"28.5434",NA,"ARG","4.76303","23.7803",NA,NA
"152",1980,"28.1059",2.65625e-09,"ARG","4.80976","23.2961",NA,NA
"153",2017,"2.93",NA,"ARM",NA,NA,NA,NA
"154",2016,"2.92482",1.14421,"ARM",NA,NA,NA,NA
"155",2015,"2.91695",1.159,"ARM",NA,NA,NA,NA
"156",2014,"2.90622",1.11731,"ARM",NA,NA,NA,NA
"157",2013,"2.89351",1.08494,"ARM",NA,NA,NA,NA
"158",2012,"2.88192",1.02558,"ARM",NA,NA,NA,NA
"159",2011,"2.87558",1,"ARM",NA,NA,NA,NA
"160",2010,"2.87731",0.928926,"ARM",NA,NA,NA,NA
"161",2009,"2.88858",0.85866,"ARM",NA,NA,NA,NA
"162",2008,"2.90822",0.830377,"ARM",NA,NA,NA,NA
"163",2007,"2.93306",0.762164,"ARM",NA,NA,NA,NA
"164",2006,"2.9585",0.729929,"ARM",NA,NA,NA,NA
"165",2005,"2.98126",0.709438,"ARM",NA,NA,NA,NA
"166",2004,"3.00061",0.704918,"ARM",NA,NA,NA,NA
"167",2003,"3.01781",0.659063,"ARM",NA,NA,NA,NA
"168",2002,"3.0339",0.629348,"ARM",NA,NA,NA,NA
"169",2001,"3.05066",0.622746,"ARM",NA,NA,NA,NA
"170",2000,"3.06959",NA,"ARM",NA,NA,NA,NA
"171",1999,"3.08902",0.608566,"ARM",NA,NA,NA,NA
"172",1998,"3.10868",NA,"ARM",NA,NA,NA,NA
"173",1997,"3.13309",NA,"ARM",NA,NA,NA,NA
"174",1996,"3.16822",0.488232,"ARM",NA,NA,NA,NA
"175",1995,"3.21734",NA,"ARM",NA,NA,NA,NA
"176",1994,"3.28366",NA,"ARM",NA,NA,NA,NA
"177",1993,"3.3631",NA,"ARM",NA,NA,NA,NA
"178",1992,"3.44281",NA,"ARM",NA,NA,NA,NA
"179",1991,"3.50525",NA,"ARM",NA,NA,NA,NA
"180",1990,"3.53817",NA,"ARM",NA,NA,NA,NA
"181",1989,"3.53647",NA,"ARM",NA,NA,NA,NA
"182",1988,"3.50465",NA,"ARM",NA,NA,NA,NA
"183",1987,"3.45194",NA,"ARM",NA,NA,NA,NA
"184",1986,"3.39226",NA,"ARM",NA,NA,NA,NA
"185",1985,"3.33594",NA,"ARM",NA,NA,NA,NA
"186",1984,"3.2856",NA,"ARM",NA,NA,NA,NA
"187",1983,"3.23859",NA,"ARM",NA,NA,NA,NA
"188",1982,"3.19369",NA,"ARM",NA,NA,NA,NA
"189",1981,"3.14809",NA,"ARM",NA,NA,NA,NA
"190",1980,"3.09975",NA,"ARM",NA,NA,NA,NA
"191",2017,"24.446",NA,"AUS",NA,NA,NA,NA
"192",2016,"24.1272",NA,"AUS",NA,NA,NA,NA
"193",2015,"23.7893",NA,"AUS",NA,NA,NA,NA
"194",2014,"23.4607",NA,"AUS",NA,NA,NA,NA
"195",2013,"23.1174",NA,"AUS",NA,NA,NA,NA
"196",2012,"22.7283",NA,"AUS",NA,NA,NA,NA
"197",2011,"22.34",NA,"AUS",NA,NA,NA,NA
"198",2010,"22.0318",0.968018,"AUS",NA,NA,NA,NA
"199",2009,"21.6917",NA,"AUS",NA,NA,NA,NA
"200",2008,"21.2492",0.924412,"AUS",NA,NA,NA,NA
"201",2007,"20.8276",NA,"AUS",NA,NA,NA,NA
"202",2006,"20.6979",NA,"AUS",NA,NA,NA,NA
"203",2005,"20.3948",NA,"AUS",NA,NA,NA,NA
"204",2004,"20.1274",NA,"AUS",NA,NA,NA,NA
"205",2003,"19.8954",0.795699,"AUS",NA,NA,NA,NA
"206",2002,"19.6514",NA,"AUS",NA,NA,NA,NA
"207",2001,"19.413",0.751672,"AUS",NA,NA,NA,NA
"208",2000,"19.153",NA,"AUS",NA,NA,NA,NA
"209",1999,"18.926",NA,"AUS",NA,NA,NA,NA
"210",1998,"18.711",NA,"AUS",NA,NA,NA,NA
"211",1997,"18.517",NA,"AUS",NA,NA,NA,NA
"212",1996,"18.311",NA,"AUS",NA,NA,NA,NA
"213",1995,"18.072",0.654786,"AUS",NA,NA,NA,NA
"214",1994,"17.855",NA,"AUS",NA,NA,NA,NA
"215",1993,"17.667",NA,"AUS",NA,NA,NA,NA
"216",1992,"17.495",NA,"AUS",NA,NA,NA,NA
"217",1991,"17.284",NA,"AUS",NA,NA,NA,NA
"218",1990,"17.0651",NA,"AUS",NA,NA,NA,NA
"219",1989,"16.8144",0.539423,"AUS",NA,NA,NA,NA
"220",1988,"16.5322",NA,"AUS",NA,NA,NA,NA
"221",1987,"16.2639",NA,"AUS",NA,NA,NA,NA
"222",1986,"16.0184",NA,"AUS",NA,NA,NA,NA
"223",1985,"15.758",0.395194,"AUS",NA,NA,NA,NA
"224",1984,"15.544",NA,"AUS",NA,NA,NA,NA
"225",1983,"15.369",NA,"AUS",NA,NA,NA,NA
"226",1982,"15.178",NA,"AUS",NA,NA,NA,NA
"227",1981,"14.927",0.291024,"AUS",NA,NA,NA,NA
"228",1980,"14.692",NA,"AUS",NA,NA,NA,NA
"229",2017,"8.77",NA,"AUT",NA,NA,NA,NA
"230",2016,"8.74736",NA,"AUT",NA,NA,NA,NA
"231",2015,"8.63317",1.07166,"AUT",NA,NA,NA,NA
"232",2014,"8.54158",1.06214,"AUT",NA,NA,NA,NA
"233",2013,"8.47938",1.04536,"AUT",NA,NA,NA,NA
"234",2012,"8.42999",1.02486,"AUT",NA,NA,NA,NA
"235",2011,"8.39164",1,"AUT",NA,NA,NA,NA
"236",2010,"8.3634",0.968364,"AUT",NA,NA,NA,NA
"237",2009,"8.34332",0.951115,"AUT",NA,NA,NA,NA
"238",2008,"8.3215",0.946324,"AUT",NA,NA,NA,NA
"239",2007,"8.29549",0.916839,"AUT",NA,NA,NA,NA
"240",2006,"8.26864",0.897379,"AUT",NA,NA,NA,NA
"241",2005,"8.22783",0.884556,"AUT",NA,NA,NA,NA
"242",2004,"8.17197",0.864628,"AUT",NA,NA,NA,NA
"243",2003,"8.12142",0.847166,"AUT",NA,NA,NA,NA
"244",2002,"8.08196",NA,"AUT",NA,NA,NA,NA
"245",2001,"8.04229",NA,"AUT",NA,NA,NA,NA
"246",2000,"8.01157",NA,"AUT",NA,NA,NA,NA
"247",1999,"7.99232",NA,"AUT",NA,NA,NA,NA
"248",1998,"7.97679",NA,"AUT",NA,NA,NA,NA
"249",1997,"7.96804",NA,"AUT",NA,NA,NA,NA
"250",1996,"7.95902",NA,"AUT",NA,NA,NA,NA
"251",1995,"7.94828",NA,"AUT",NA,NA,NA,NA
"252",1994,"7.93612",NA,"AUT",NA,NA,NA,NA
"253",1993,"7.90563",NA,"AUT",NA,NA,NA,NA
"254",1992,"7.84071",NA,"AUT",NA,NA,NA,NA
"255",1991,"7.75489",NA,"AUT",NA,NA,NA,NA
"256",1990,"7.67785",NA,"AUT",NA,NA,NA,NA
"257",1989,"7.61957",NA,"AUT",NA,NA,NA,NA
"258",1988,"7.58532",NA,"AUT",NA,NA,NA,NA
"259",1987,"7.57459",NA,"AUT",NA,NA,NA,NA
"260",1986,"7.56979",NA,"AUT",NA,NA,NA,NA
"261",1985,"7.56499",NA,"AUT",NA,NA,NA,NA
"262",1984,"7.56143",NA,"AUT",NA,NA,NA,NA
"263",1983,"7.56191",NA,"AUT",NA,NA,NA,NA
"264",1982,"7.57414",NA,"AUT",NA,NA,NA,NA
"265",1981,"7.56871",NA,"AUT",NA,NA,NA,NA
"266",1980,"7.54943",NA,"AUT",NA,NA,NA,NA
"267",2017,"9.868",NA,"AZE",NA,NA,NA,NA
"268",2016,"9.76227",NA,"AZE",NA,NA,NA,NA
"269",2015,"9.64934",NA,"AZE",NA,NA,NA,NA
"270",2014,"9.53508",NA,"AZE",NA,NA,NA,NA
"271",2013,"9.4168",NA,"AZE",NA,NA,NA,NA
"272",2012,"9.29578",NA,"AZE",NA,NA,NA,NA
"273",2011,"9.17308",NA,"AZE",NA,NA,NA,NA
"274",2010,"9.05433",NA,"AZE",NA,NA,NA,NA
"275",2009,"8.94724",NA,"AZE",NA,NA,NA,NA
"276",2008,"8.7634",0.865351,"AZE",NA,NA,NA,NA
"277",2007,"8.5813",NA,"AZE",NA,NA,NA,NA
"278",2006,"8.48455",NA,"AZE",NA,NA,NA,NA
"279",2005,"8.39185",0.566956,"AZE",NA,NA,NA,NA
"280",2004,"8.3065",0.51692,"AZE",NA,NA,NA,NA
"281",2003,"8.2341",0.484421,"AZE",NA,NA,NA,NA
"282",2002,"8.17195",0.473836,"AZE",NA,NA,NA,NA
"283",2001,"8.1112",0.461059,"AZE",NA,NA,NA,NA
"284",2000,"8.0486",NA,"AZE",NA,NA,NA,NA
"285",1999,"7.98275",NA,"AZE",NA,NA,NA,NA
"286",1998,"7.913",NA,"AZE",NA,NA,NA,NA
"287",1997,"7.83825",NA,"AZE",NA,NA,NA,NA
"288",1996,"7.763",NA,"AZE",NA,NA,NA,NA
"289",1995,"7.685",0.395619,"AZE",NA,NA,NA,NA
"290",1994,"7.597",NA,"AZE",NA,NA,NA,NA
"291",1993,"7.495",NA,"AZE",NA,NA,NA,NA
"292",1992,"7.382",NA,"AZE",NA,NA,NA,NA
"293",1991,"7.271",NA,"AZE",NA,NA,NA,NA
"294",1990,"7.159",NA,"AZE",NA,NA,NA,NA
"295",1989,"7.12689",NA,"AZE",NA,NA,NA,NA
"296",1988,"7.01004",NA,"AZE",NA,NA,NA,NA
"297",1987,"6.8935",NA,"AZE",NA,NA,NA,NA
"298",1986,"6.77863",NA,"AZE",NA,NA,NA,NA
"299",1985,"6.66646",NA,"AZE",NA,NA,NA,NA
"300",1984,"6.55759",NA,"AZE",NA,NA,NA,NA
"301",1983,"6.45208",NA,"AZE",NA,NA,NA,NA
"302",1982,"6.34956",NA,"AZE",NA,NA,NA,NA
"303",1981,"6.24932",NA,"AZE",NA,NA,NA,NA
"304",1980,"6.15074",NA,"AZE",NA,NA,NA,NA
"305",2017,"164.67",NA,"BGD",NA,NA,NA,NA
"306",2016,"162.952",1.30366,"BGD",NA,NA,NA,NA
"307",2015,"161.201",NA,"BGD",NA,NA,NA,NA
"308",2014,"159.405",NA,"BGD",NA,NA,NA,NA
"309",2013,"157.571",NA,"BGD",NA,NA,NA,NA
"310",2012,"155.727",NA,"BGD",NA,NA,NA,NA
"311",2011,"153.912",NA,"BGD",NA,NA,NA,NA
"312",2010,"152.149",0.920078,"BGD",NA,NA,NA,NA
"313",2009,"150.455",NA,"BGD",NA,NA,NA,NA
"314",2008,"148.806",NA,"BGD",NA,NA,NA,NA
"315",2007,"147.139",NA,"BGD",NA,NA,NA,NA
"316",2006,"145.368",NA,"BGD",NA,NA,NA,NA
"317",2005,"143.431",0.495199,"BGD",NA,NA,NA,NA
"318",2004,"141.307",NA,"BGD",NA,NA,NA,NA
"319",2003,"139.019",NA,"BGD",NA,NA,NA,NA
"320",2002,"136.601",NA,"BGD",NA,NA,NA,NA
"321",2001,"134.107",NA,"BGD",NA,NA,NA,NA
"322",2000,"131.581",0.393445,"BGD",NA,NA,NA,NA
"323",1999,"129.03",NA,"BGD",NA,NA,NA,NA
"324",1998,"126.448",NA,"BGD",NA,NA,NA,NA
"325",1997,"123.855",NA,"BGD",NA,NA,NA,NA
"326",1996,"121.27",NA,"BGD",NA,NA,NA,NA
"327",1995,"118.707",0.354067,"BGD",NA,NA,NA,NA
"328",1994,"116.182",NA,"BGD",NA,NA,NA,NA
"329",1993,"113.695",NA,"BGD",NA,NA,NA,NA
"330",1992,"111.222",NA,"BGD",NA,NA,NA,NA
"331",1991,"108.727",0.305043,"BGD",NA,NA,NA,NA
"332",1990,"106.189",NA,"BGD",NA,NA,NA,NA
"333",1989,"103.599",NA,"BGD",NA,NA,NA,NA
"334",1988,"100.975",0.240294,"BGD",NA,NA,NA,NA
"335",1987,"98.3438",NA,"BGD",NA,NA,NA,NA
"336",1986,"95.7424",NA,"BGD",NA,NA,NA,NA
"337",1985,"93.1999",0.180671,"BGD",NA,NA,NA,NA
"338",1984,"90.7324",NA,"BGD",NA,NA,NA,NA
"339",1983,"88.3382",0.148298,"BGD",NA,NA,NA,NA
"340",1982,"86.0073",NA,"BGD",NA,NA,NA,NA
"341",1981,"83.7213",NA,"BGD",NA,NA,NA,NA
"342",1980,"81.4709",NA,"BGD",NA,NA,NA,NA
"343",2017,"9.48",NA,"BLR",NA,NA,NA,NA
"344",2016,"9.50712",2.82527,"BLR",NA,NA,NA,NA
"345",2015,"9.48962",2.52625,"BLR",NA,NA,NA,NA
"346",2014,"9.47451",2.22509,"BLR",NA,NA,NA,NA
"347",2013,"9.466",1.88376,"BLR",NA,NA,NA,NA
"348",2012,"9.4645",1.5922,"BLR",NA,NA,NA,NA
"349",2011,"9.47317",1,"BLR",NA,NA,NA,NA
"350",2010,"9.49058",0.652619,"BLR",NA,NA,NA,NA
"351",2009,"9.50677",0.605759,"BLR",NA,NA,NA,NA
"352",2008,"9.52799",0.536328,"BLR",NA,NA,NA,NA
"353",2007,"9.56095",0.467031,"BLR",NA,NA,NA,NA
"354",2006,"9.60492",0.430755,"BLR",NA,NA,NA,NA
"355",2005,"9.66392",0.40245,"BLR",NA,NA,NA,NA
"356",2004,"9.73015",0.36474,"BLR",NA,NA,NA,NA
"357",2003,"9.79675",0.308819,"BLR",NA,NA,NA,NA
"358",2002,"9.86555",0.240517,"BLR",NA,NA,NA,NA
"359",2001,"9.92855",0.168739,"BLR",NA,NA,NA,NA
"360",2000,"9.97961",0.104719,"BLR",NA,NA,NA,NA
"361",1999,"10.0267",0.0389841,"BLR",NA,NA,NA,NA
"362",1998,"10.069",0.00990252,"BLR",NA,NA,NA,NA
"363",1997,"10.117",NA,"BLR",NA,NA,NA,NA
"364",1996,"10.16",NA,"BLR",NA,NA,NA,NA
"365",1995,"10.194",0.0022881,"BLR",NA,NA,NA,NA
"366",1994,"10.227",NA,"BLR",NA,NA,NA,NA
"367",1993,"10.239",1.21804e-05,"BLR",NA,NA,NA,NA
"368",1992,"10.216",NA,"BLR",NA,NA,NA,NA
"369",1991,"10.194",NA,"BLR",NA,NA,NA,NA
"370",1990,"10.189",NA,"BLR",NA,NA,NA,NA
"371",1989,"10.17",NA,"BLR",NA,NA,NA,NA
"372",1988,"10.14",NA,"BLR",NA,NA,NA,NA
"373",1987,"10.111",NA,"BLR",NA,NA,NA,NA
"374",1986,"10.043",NA,"BLR",NA,NA,NA,NA
"375",1985,"9.975",NA,"BLR",NA,NA,NA,NA
"376",1984,"9.91",NA,"BLR",NA,NA,NA,NA
"377",1983,"9.843",NA,"BLR",NA,NA,NA,NA
"378",1982,"9.776",NA,"BLR",NA,NA,NA,NA
"379",1981,"9.71",NA,"BLR",NA,NA,NA,NA
"380",1980,"9.643",NA,"BLR",NA,NA,NA,NA
"381",2017,"11.416",NA,"BEL",NA,NA,NA,NA
"382",2016,"11.3482",NA,"BEL",NA,NA,NA,NA
"383",2015,"11.2742",1.04924,"BEL",NA,NA,NA,NA
"384",2014,"11.2091",1.04338,"BEL",NA,NA,NA,NA
"385",2013,"11.1828",1.03984,"BEL",NA,NA,NA,NA
"386",2012,"11.1282",1.0284,"BEL",NA,NA,NA,NA
"387",2011,"11.0477",1,"BEL",NA,NA,NA,NA
"388",2010,"10.8956",0.965884,"BEL",NA,NA,NA,NA
"389",2009,"10.7965",0.945191,"BEL",NA,NA,NA,NA
"390",2008,"10.71",0.945694,"BEL",NA,NA,NA,NA
"391",2007,"10.6257",0.905061,"BEL",NA,NA,NA,NA
"392",2006,"10.548",0.888866,"BEL",NA,NA,NA,NA
"393",2005,"10.4786",0.873227,"BEL",NA,NA,NA,NA
"394",2004,"10.4211",0.849597,"BEL",NA,NA,NA,NA
"395",2003,"10.3761",0.832151,"BEL",NA,NA,NA,NA
"396",2002,"10.3328",NA,"BEL",NA,NA,NA,NA
"397",2001,"10.2866",NA,"BEL",NA,NA,NA,NA
"398",2000,"10.2513",NA,"BEL",NA,NA,NA,NA
"399",1999,"10.2264",NA,"BEL",NA,NA,NA,NA
"400",1998,"10.203",NA,"BEL",NA,NA,NA,NA
"401",1997,"10.1812",NA,"BEL",NA,NA,NA,NA
"402",1996,"10.1566",NA,"BEL",NA,NA,NA,NA
"403",1995,"10.1368",NA,"BEL",NA,NA,NA,NA
"404",1994,"10.1156",NA,"BEL",NA,NA,NA,NA
"405",1993,"10.0845",NA,"BEL",NA,NA,NA,NA
"406",1992,"10.0452",NA,"BEL",NA,NA,NA,NA
"407",1991,"10.0045",NA,"BEL",NA,NA,NA,NA
"408",1990,"9.96738",NA,"BEL",NA,NA,NA,NA
"409",1989,"9.9377",NA,"BEL",NA,NA,NA,NA
"410",1988,"9.90166",NA,"BEL",NA,NA,NA,NA
"411",1987,"9.87023",NA,"BEL",NA,NA,NA,NA
"412",1986,"9.86182",NA,"BEL",NA,NA,NA,NA
"413",1985,"9.85831",NA,"BEL",NA,NA,NA,NA
"414",1984,"9.85537",NA,"BEL",NA,NA,NA,NA
"415",1983,"9.85552",NA,"BEL",NA,NA,NA,NA
"416",1982,"9.8563",NA,"BEL",NA,NA,NA,NA
"417",1981,"9.85898",NA,"BEL",NA,NA,NA,NA
"418",1980,"9.85924",NA,"BEL",NA,NA,NA,NA
"419",2017,"0.375",NA,"BLZ",NA,NA,NA,NA
"420",2016,"0.366954",NA,"BLZ",NA,NA,NA,NA
"421",2015,"0.359288",NA,"BLZ",NA,NA,NA,NA
