cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DJI,152004,158401.3,159867.8,166828.2,174636,177506.1,186099.5,196667.9,236612.5,258633,258533.8,262571.2,262185.6,291289.6,284635.2,292932,299591.1,298966.8,290530.8,291264.4,292900,289699.8,281569.2
DOM,959912.3,847087.8,1042176,1266281.6,2052726.5,1352296.8,1032684.2,992217.6,1112109.8,1037361.6,970004,826224.8,888562.5,798911.4,660781,630687.1,577175.8,352080.9,243779.2,266103.2,268813.6,271475.6,274040.8
DZA,2351273.6,2044002.4,1583752.5,1425732,1208180.8,858830.4,803916.4,723730,617039.7,521335.5,408133.4,294552,289258.2,268373,258152.4,251187.3,219277.8,218990.7,210040,200591.3,203665.1,206654.3,209549.5
ECU,3329004.4,3129462,2667995.2,2650026,2801766.6,2306106.5,1734825.6,1802614.5,1882574.4,1811400.3,1604019,1452438.9,1366212,1091571.7,974915.2,1155910.4,1182997,1095587.5,1160174.4,1222721.5,1246458.4,1294761.6,1283380
EGY,775956.6,968687.2,1357433,1842151.8,2321765.6,1811960.8,2047765.8,2513369.2,3092442.8,2968740,3313855.2,3350022,3240299.7,3520473.6,4021409.4,4173121,6210151.2,10574745.2,12740003.2,11118363.2,11344098.2,11348612.8,11194963.2
ETH,33720951.6,27807752,31780498.4,36461619.6,29677964.8,28711243.4,29868758.8,32764500,39953755.5,37207209.6,33195585.5,36387992.7,38844968.8,37432921.5,36531723.2,37861854.3,36219941.1,34132341.6,30884052,30430300.5,30287067.4,30478196.4,30755932.5
FJI,168652.4,168253.8,159691.2,157844.4,140696,139164.6,135626.4,142785,149463.9,162476.4,159358,168458.1,172877.2,157253.1,166036.4,194366.8,226565.4,199682.4,206750.4,254928.6,374497.2,412548,347817.6
FSM,2557.3,2546.6,2546.6,2439.6,2557.3,2416.8,2915,3055.5,4108,5886.4,6271.2,6602.3,7714.7,9620,9828,9755.2,9712.5,8957,8755.6,8795.4,9126,10082.5,10300.5
GAB,212224.4,222616.8,237966.6,250460.8,271362,284809,307351.5,292439.6,334540.8,350250.9,305860,291205.2,286742.4,257650.6,227746.4,224459,198097.9,171922.5,177434.4,178843.2,182619.9,187587,194034.6
GEO,1342464.6,1395993.6,833887.5,871841.6,827001.6,930603.8,979687.3,1082820.6,1012956,981523.2,1135022.4,1151472,941142.8,760460,657482.4,577636.2,573050,582496.8,559873.1,572326.4,563795.4,546652.8,525585.6
GHA,11045224.8,11256411.6,10869087.5,10534294.4,10247952.1,9713287.8,9312205.4,9227550,8643929,8251315.6,7456550.4,6039328.8,4758031.7,4152129.6,3701882.6,3318114.6,3088666.5,2747880.2,2663455.2,2552225.6,2560142.2,2632278.6,2702319.2
GIN,3408696,3588400,3702312.4,3763102,3715726.5,3658662,3755768.1,3859073.4,3427568,3577767.3,3905269.2,3424160.5,2635241.6,2595600,2546554.2,2612865.1,2512669.2,2495075.4,2536003.6,2533561.8,2545310.1,2604706,2676427.5
GMB,502286.4,618087.3,773555.2,614221.5,546757.8,568936,568220.1,562350.6,520387.6,660428,417924,486714.2,419505.6,363992.2,333174.6,263534.1,260252.6,261574.5,232630,219458,224255.4,233404,239302.2
GTM,1177815,1363027.5,1491939.8,1575000,1728874.7,1931660,2045721.9,2104473.6,2218550.4,2399361.6,2408262.6,2580197.4,2756415.5,2957191.2,3111549.6,3317033.2,3570104.6,3810724.2,3964625.5,4122041,4164307.5,4274569.2,4295002.4
GUY,134410.5,131299.2,130073.2,130848,128592,131124.6,121275,106148.7,104440,99830,99052.2,96471.2,92242.5,88610.2,88242,88704,86223.6,80963.4,76479.6,73820.6,49753.9,42930,31720.3
HND,3148482.4,3022558.8,3421205.5,3725909.8,3696372.4,3627516,3273228,3155655.2,3134241.3,2878940.5,3086237,3139140.9,3604419,3380949,3350062.7,3437439.6,3308930.3,3187160,3251690.1,3222839.2,3261696.4,3340656.5,3344676.3
HTI,5193270,5308204.4,5370796.5,5491230.9,5576268.5,5531534.4,5536844,5872776.5,5917138.5,5438856,5652000,5464097,2454955.4,2450476.8,2463509,2390918.4,2345121.4,2285146.1,2318171.8,2572398.4,2607599.6,2662936.8,2691886.8
IDN-R,33138298.9,27112161.5,15453469.6,12247356.2,16313115,12892996.4,20260013.5,17455443.6,19704938,16800672,16216378.5,14542881.4,12805584,11999820.8,10005800.4,9087735.8,9743597.3,7840153.5,6865459.2,4816621.6,4662343,4754254.5,4691380.2
IDN-U,5100047.4,2899995.2,767588.4,792390.6,1039888,1041560,2008772.7,1738806.4,2214471.2,2304901.2,2082111.6,2274964.5,2169506,1951065.6,1987462.4,2463666.5,2241470.7,1904694,1535071.2,679050,647593.8,692846,707185.6
IND-R,177171652.6,172077129.2,170163635.2,164936721.2,159329947,149216467.7,141090091.2,130647356,122002119.9,114882363.2,95566526.4,60686503.2,50774623.2,52597974,51966565.2,47519190,43796610,27743570.4,17865440,12108271.5,11971316.7,12459095.4,12037963
