countrycode,fpl_2019eq_fo_2020,fpl_2019eq_fo_2021,fpl_2019eq_fo_2022,fpl_2019eq_fo_2023,fpl_2019eq_gr_2020,fpl_2019eq_gr_2021,fpl_2019eq_gr_2022,fpl_2019eq_gr_2023
JOR,6.771700878,6.688306969,6.630969018,6.491265068,6.792602898,6.701235504,6.576114398,6.436897134
NPL,1.866138747,1.8704851,1.859134657,1.799781697,1.796588039,1.702932098,1.621245648,1.629470805
THA,4.747903249,4.684324266,4.721366839,4.774479182,4.698325864,4.678804654,4.405810334,4.310302614
AFG,2.412603733,2.421633995,2.531813122,2.515123264,2.412010249,2.99970335,2.99970335,2.99970335
UZB,3.52508092,3.638833015,3.756333515,3.827369389,3.451775925,3.158317519,2.895192329,2.814813739
SLE,2.239836472,2.341733075,2.401566956,2.450378631,2.165299109,1.664484777,1.63758004,1.628043419
TUR,5.629081464,5.849328959,6.3020581,6.712200518,5.416761538,4.734125551,3.984786174,3.891118925
IND-U,1.452594915,1.43559794,1.445289907,1.433490188,1.502387665,1.361459445,1.27705465,1.242337448
NGA,1.627345044,1.673948393,1.702413177,1.719928071,1.642967566,1.339712541,1.331545397,1.327463426
ETH,2.641054051,2.744010558,2.798511387,2.721422071,2.448387263,2.311393334,2.231264157,2.14831535
IND-R,1.446467414,1.429542137,1.439193221,1.427443276,1.496050122,1.355716382,1.271667632,1.237096878
SDN,2.608679944,1.782264308,1.451166267,1.341049439,2.809231402,2.908053793,2.993477423,3.638254909
BGD,2.213161241,2.20804377,2.209106543,2.198874832,2.171809447,2.033888812,1.912852933,1.834180076
