cc,type,2020,2021,2022,2023
BOL,fpl_2019eq_gr_2020,1153245.6,,,
BOL,fpl_2019eq_gr_2021,,1105235.2,,
BOL,fpl_2019eq_gr_2022,,,1087475.2,
BOL,fpl_2019eq_gr_2023,,,,1092778
BRA,fpl_2019eq_fo_2020,23824338.2,,,
BRA,fpl_2019eq_fo_2021,,25122942.6,,
BRA,fpl_2019eq_fo_2022,,,26537910,
BRA,fpl_2019eq_fo_2023,,,,27154950.2
BRA,fpl_2019eq_gr_2020,23760179.3,,,
BRA,fpl_2019eq_gr_2021,,23185440.6,,
BRA,fpl_2019eq_gr_2022,,,22356835.2,
BRA,fpl_2019eq_gr_2023,,,,21902668.5
BTN,fpl_2019eq_fo_2020,8099.5,,,
BTN,fpl_2019eq_fo_2021,,8524.4,,
BTN,fpl_2019eq_fo_2022,,,8274.1,
BTN,fpl_2019eq_fo_2023,,,,8179.5
BTN,fpl_2019eq_gr_2020,8934.5,,,
BTN,fpl_2019eq_gr_2021,,7596,,
BTN,fpl_2019eq_gr_2022,,,6568.1,
BTN,fpl_2019eq_gr_2023,,,,5166
BWA,fpl_2019eq_fo_2020,371097.6,,,
BWA,fpl_2019eq_fo_2021,,365110.2,,
BWA,fpl_2019eq_fo_2022,,,366912,
BWA,fpl_2019eq_fo_2023,,,,424019.2
BWA,fpl_2019eq_gr_2020,349353.6,,,
BWA,fpl_2019eq_gr_2021,,345208.5,,
BWA,fpl_2019eq_gr_2022,,,332467.2,
BWA,fpl_2019eq_gr_2023,,,,319282.4
CAF,fpl_2019eq_fo_2020,3477670.7,,,
CAF,fpl_2019eq_fo_2021,,3549754.1,,
CAF,fpl_2019eq_fo_2022,,,3626784.4,
CAF,fpl_2019eq_fo_2023,,,,3709286.4
CAF,fpl_2019eq_gr_2020,3629729.6,,,
CAF,fpl_2019eq_gr_2021,,3730079.8,,
CAF,fpl_2019eq_gr_2022,,,3762782.4,
CAF,fpl_2019eq_gr_2023,,,,3869350.4
CHL,fpl_2019eq_fo_2020,164409.7,,,
