cc,type,2020,2021,2022,2023
IRQ,fpl_2019eq_gr_2023,,,,385925
JAM,fpl_2019eq_fo_2020,515601,,,
JAM,fpl_2019eq_fo_2021,,516663,,
JAM,fpl_2019eq_fo_2022,,,546203.2,
JAM,fpl_2019eq_fo_2023,,,,565982.4
JAM,fpl_2019eq_gr_2020,633577.5,,,
JAM,fpl_2019eq_gr_2021,,606276.3,,
JAM,fpl_2019eq_gr_2022,,,571057.2,
JAM,fpl_2019eq_gr_2023,,,,551928
JOR,fpl_2019eq_fo_2020,1777386.9,,,
JOR,fpl_2019eq_fo_2021,,1733760,,
JOR,fpl_2019eq_fo_2022,,,1707460.5,
JOR,fpl_2019eq_fo_2023,,,,1583668.8
JOR,fpl_2019eq_gr_2020,1792700.4,,,
JOR,fpl_2019eq_gr_2021,,1743048,,
JOR,fpl_2019eq_gr_2022,,,1658557,
JOR,fpl_2019eq_gr_2023,,,,1551199.4
KAZ,fpl_2019eq_fo_2020,118295.1,,,
KAZ,fpl_2019eq_fo_2021,,138386.1,,
KAZ,fpl_2019eq_fo_2022,,,168352.8,
KAZ,fpl_2019eq_fo_2023,,,,185251.2
KAZ,fpl_2019eq_gr_2020,127683.6,,,
KAZ,fpl_2019eq_gr_2021,,98576.4,,
KAZ,fpl_2019eq_gr_2022,,,89915.7,
KAZ,fpl_2019eq_gr_2023,,,,77188
KEN,fpl_2019eq_fo_2020,17663058.4,,,
KEN,fpl_2019eq_fo_2021,,18904923.1,,
KEN,fpl_2019eq_fo_2022,,,21131697.6,
KEN,fpl_2019eq_fo_2023,,,,22188907
KEN,fpl_2019eq_gr_2020,18508232,,,
KEN,fpl_2019eq_gr_2021,,17666872.5,,
KEN,fpl_2019eq_gr_2022,,,17660221.8,
KEN,fpl_2019eq_gr_2023,,,,17109449.5
KGZ,fpl_2019eq_fo_2020,113436,,,
KGZ,fpl_2019eq_fo_2021,,144233.2,,
KGZ,fpl_2019eq_fo_2022,,,164704.5,
KGZ,fpl_2019eq_fo_2023,,,,166617
KGZ,fpl_2019eq_gr_2020,143055.4,,,
KGZ,fpl_2019eq_gr_2021,,52332.4,,
KGZ,fpl_2019eq_gr_2022,,,42629.4,
KGZ,fpl_2019eq_gr_2023,,,,40510.8
KHM,fpl_2019eq_fo_2020,181428.944093099,,,
KHM,fpl_2019eq_fo_2021,,189245.05185473,,
KHM,fpl_2019eq_fo_2022,,,196915.792548717,
KHM,fpl_2019eq_fo_2023,,,,209970.522919767
KHM,fpl_2019eq_gr_2020,208595.920362992,,,
KHM,fpl_2019eq_gr_2021,,217463.146855792,,
KHM,fpl_2019eq_gr_2022,,,180552.110807451,
KHM,fpl_2019eq_gr_2023,,,,166101.366606768
KIR,fpl_2019eq_fo_2020,8759.6,,,
KIR,fpl_2019eq_fo_2021,,9089.2,,
KIR,fpl_2019eq_fo_2022,,,9387,
KIR,fpl_2019eq_fo_2023,,,,10035.2
KIR,fpl_2019eq_gr_2020,8881.6,,,
KIR,fpl_2019eq_gr_2021,,6919.2,,
KIR,fpl_2019eq_gr_2022,,,7119,
KIR,fpl_2019eq_gr_2023,,,,7052.8
LAO,fpl_2019eq_fo_2020,553138,,,
LAO,fpl_2019eq_fo_2021,,549082.8,,
LAO,fpl_2019eq_fo_2022,,,534190.8,
LAO,fpl_2019eq_fo_2023,,,,632420.1
LAO,fpl_2019eq_gr_2020,519462.5,,,
LAO,fpl_2019eq_gr_2021,,519304.5,,
LAO,fpl_2019eq_gr_2022,,,506966.2,
LAO,fpl_2019eq_gr_2023,,,,449174.7
LBN,fpl_2019eq_fo_2020,3612,,,
LBN,fpl_2019eq_fo_2021,,59580,,
LBN,fpl_2019eq_fo_2022,,,136887.5,
LBN,fpl_2019eq_fo_2023,,,,134743.9
LBN,fpl_2019eq_gr_2020,0,,,
LBN,fpl_2019eq_gr_2021,,0,,
LBN,fpl_2019eq_gr_2022,,,0,
LBN,fpl_2019eq_gr_2023,,,,0
LBR,fpl_2019eq_fo_2020,3525843.2,,,
LBR,fpl_2019eq_fo_2021,,3470385.6,,
LBR,fpl_2019eq_fo_2022,,,3541188.9,
LBR,fpl_2019eq_fo_2023,,,,3643298.4
LBR,fpl_2019eq_gr_2020,3569227.2,,,
LBR,fpl_2019eq_gr_2021,,3615312,,
LBR,fpl_2019eq_gr_2022,,,3631287.3,
LBR,fpl_2019eq_gr_2023,,,,3654840
LBY,fpl_2019eq_fo_2020,693429.805841978,,,
LBY,fpl_2019eq_fo_2021,,697611.245666603,,
LBY,fpl_2019eq_fo_2022,,,777760.874829571,
LBY,fpl_2019eq_fo_2023,,,,941206.813405224
LBY,fpl_2019eq_gr_2020,880639.84780709,,,
LBY,fpl_2019eq_gr_2021,,870458.172898571,,
LBY,fpl_2019eq_gr_2022,,,874344.48233143,
LBY,fpl_2019eq_gr_2023,,,,884735.652049693
LCA,fpl_2019eq_fo_2020,14480,,,
LCA,fpl_2019eq_fo_2021,,13937,,
LCA,fpl_2019eq_fo_2022,,,13779.9,
LCA,fpl_2019eq_fo_2023,,,,14640
LCA,fpl_2019eq_gr_2020,18950.7,,,
LCA,fpl_2019eq_gr_2021,,16959.7,,
LCA,fpl_2019eq_gr_2022,,,14640,
LCA,fpl_2019eq_gr_2023,,,,14182.5
LKA,fpl_2019eq_fo_2020,533425.2,,,
LKA,fpl_2019eq_fo_2021,,655526,,
LKA,fpl_2019eq_fo_2022,,,882086.4,
LKA,fpl_2019eq_fo_2023,,,,718554.2
LKA,fpl_2019eq_gr_2020,558726,,,
LKA,fpl_2019eq_gr_2021,,513847.8,,
LKA,fpl_2019eq_gr_2022,,,824835.6,
LKA,fpl_2019eq_gr_2023,,,,829101
LSO,fpl_2019eq_fo_2020,235915.2,,,
LSO,fpl_2019eq_fo_2021,,258610,,
LSO,fpl_2019eq_fo_2022,,,263814.8,
LSO,fpl_2019eq_fo_2023,,,,271253.4
LSO,fpl_2019eq_gr_2020,194119.2,,,
LSO,fpl_2019eq_gr_2021,,195838.3,,
LSO,fpl_2019eq_gr_2022,,,194527.7,
LSO,fpl_2019eq_gr_2023,,,,193683.6
LTU,fpl_2019eq_fo_2020,259551.044934572,,,
LTU,fpl_2019eq_fo_2021,,273174.714254259,,
LTU,fpl_2019eq_fo_2022,,,293284.908154926,
LTU,fpl_2019eq_fo_2023,,,,307936.85191551
LTU,fpl_2019eq_gr_2020,257155.680475299,,,
LTU,fpl_2019eq_gr_2021,,211424.683383021,,
LTU,fpl_2019eq_gr_2022,,,184332.491953217,
LTU,fpl_2019eq_gr_2023,,,,173399.641364672
LVA,fpl_2019eq_fo_2020,172275.640975156,,,
LVA,fpl_2019eq_fo_2021,,180353.024375611,,
LVA,fpl_2019eq_fo_2022,,,192792.307022634,
LVA,fpl_2019eq_fo_2023,,,,201570.604558767
LVA,fpl_2019eq_gr_2020,170685.730413654,,,
LVA,fpl_2019eq_gr_2021,,139584.958219424,,
LVA,fpl_2019eq_gr_2022,,,121171.88915878,
LVA,fpl_2019eq_gr_2023,,,,113504.669294146
MAR,fpl_2019eq_fo_2020,48192.3,,,
MAR,fpl_2019eq_fo_2021,,48747.4,,
MAR,fpl_2019eq_fo_2022,,,53079.6,
MAR,fpl_2019eq_fo_2023,,,,65142.3
MAR,fpl_2019eq_gr_2020,59313.6,,,
MAR,fpl_2019eq_gr_2021,,48747.4,,
MAR,fpl_2019eq_gr_2022,,,49288.2,
MAR,fpl_2019eq_gr_2023,,,,49814.7
MDA,fpl_2019eq_fo_2020,1931050.8,,,
MDA,fpl_2019eq_fo_2021,,1995691.5,,
MDA,fpl_2019eq_fo_2022,,,2077315.5,
MDA,fpl_2019eq_fo_2023,,,,2097867.5
MDA,fpl_2019eq_gr_2020,2047974.6,,,
MDA,fpl_2019eq_gr_2021,,1372113,,
MDA,fpl_2019eq_gr_2022,,,1476270.9,
MDA,fpl_2019eq_gr_2023,,,,1357747.8
MDG,fpl_2019eq_fo_2020,17689010.8,,,
MDG,fpl_2019eq_fo_2021,,18394464.6,,
MDG,fpl_2019eq_fo_2022,,,19078186.4,
MDG,fpl_2019eq_fo_2023,,,,19824943.6
MDG,fpl_2019eq_gr_2020,17794236.6,,,
MDG,fpl_2019eq_gr_2021,,18198325.2,,
MDG,fpl_2019eq_gr_2022,,,18643464,
MDG,fpl_2019eq_gr_2023,,,,19034580.4
MDV,fpl_2019eq_fo_2020,14845.2753969718,,,
MDV,fpl_2019eq_fo_2021,,14585.172017606,,
MDV,fpl_2019eq_fo_2022,,,15123.7437770977,
MDV,fpl_2019eq_fo_2023,,,,14897.8740302752
MDV,fpl_2019eq_gr_2020,15982.1738727547,,,
MDV,fpl_2019eq_gr_2021,,10782.7848304431,,
MDV,fpl_2019eq_gr_2022,,,8153.4237479818,
MDV,fpl_2019eq_gr_2023,,,,7068.83928505116
MEX,fpl_2019eq_fo_2020,14980053,,,
MEX,fpl_2019eq_fo_2021,,15650390.4,,
MEX,fpl_2019eq_fo_2022,,,17464484.4,
MEX,fpl_2019eq_fo_2023,,,,18341629.8
MEX,fpl_2019eq_gr_2020,17871645,,,
MEX,fpl_2019eq_gr_2021,,15772236,,
MEX,fpl_2019eq_gr_2022,,,14234376,
MEX,fpl_2019eq_gr_2023,,,,13804635.4
MHL,fpl_2019eq_fo_2020,575.275742562622,,,
MHL,fpl_2019eq_fo_2021,,603.118083106433,,
MHL,fpl_2019eq_fo_2022,,,607.941807251238,
MHL,fpl_2019eq_fo_2023,,,,640.117211087009
MHL,fpl_2019eq_gr_2020,661.416917693004,,,
MHL,fpl_2019eq_gr_2021,,693.048272557409,,
MHL,fpl_2019eq_gr_2022,,,557.421906727727,
MHL,fpl_2019eq_gr_2023,,,,506.377476569381
MKD,fpl_2019eq_fo_2020,131544,,,
MKD,fpl_2019eq_fo_2021,,131607,,
MKD,fpl_2019eq_fo_2022,,,137874,
MKD,fpl_2019eq_fo_2023,,,,155914
MKD,fpl_2019eq_gr_2020,135302.4,,,
MKD,fpl_2019eq_gr_2021,,125131.1,,
MKD,fpl_2019eq_gr_2022,,,115103.9,
MKD,fpl_2019eq_gr_2023,,,,113278
MLI,fpl_2019eq_fo_2020,718089,,,
MLI,fpl_2019eq_fo_2021,,783450,,
MLI,fpl_2019eq_fo_2022,,,976781,
MLI,fpl_2019eq_fo_2023,,,,976947.3
MLI,fpl_2019eq_gr_2020,705918,,,
MLI,fpl_2019eq_gr_2021,,727041.6,,
MLI,fpl_2019eq_gr_2022,,,772388.5,
MLI,fpl_2019eq_gr_2023,,,,746556.1
MMR,fpl_2019eq_fo_2020,1260584,,,
MMR,fpl_2019eq_fo_2021,,1221444.9,,
MMR,fpl_2019eq_fo_2022,,,1158955.2,
MMR,fpl_2019eq_fo_2023,,,,1218585.2
MMR,fpl_2019eq_gr_2020,1194814.4,,,
MMR,fpl_2019eq_gr_2021,,2879514.9,,
MMR,fpl_2019eq_gr_2022,,,2763662.4,
MMR,fpl_2019eq_gr_2023,,,,2605638.4
MNE,fpl_2019eq_fo_2020,82089,,,
MNE,fpl_2019eq_fo_2021,,83342.5,,
MNE,fpl_2019eq_fo_2022,,,100073.9,
MNE,fpl_2019eq_fo_2023,,,,104602.7
MNE,fpl_2019eq_gr_2020,88704,,,
MNE,fpl_2019eq_gr_2021,,81329.7,,
MNE,fpl_2019eq_gr_2022,,,66233.7,
MNE,fpl_2019eq_gr_2023,,,,63780.6
MNG,fpl_2019eq_fo_2020,71560.7,,,
MNG,fpl_2019eq_fo_2021,,96229.6,,
MNG,fpl_2019eq_fo_2022,,,109952.8,
MNG,fpl_2019eq_fo_2023,,,,121508.5
MNG,fpl_2019eq_gr_2020,65142.7,,,
MNG,fpl_2019eq_gr_2021,,90052.7,,
MNG,fpl_2019eq_gr_2022,,,71765.6,
MNG,fpl_2019eq_gr_2023,,,,63916.8
MOZ,fpl_2019eq_fo_2020,21039620.8,,,
MOZ,fpl_2019eq_fo_2021,,22320591,,
MOZ,fpl_2019eq_fo_2022,,,23345627.2,
MOZ,fpl_2019eq_fo_2023,,,,24757520.4
MOZ,fpl_2019eq_gr_2020,21265783.8,,,
MOZ,fpl_2019eq_gr_2021,,21313722,,
MOZ,fpl_2019eq_gr_2022,,,21715670.5,
MOZ,fpl_2019eq_gr_2023,,,,21711576
MRT,fpl_2019eq_fo_2020,593216,,,
MRT,fpl_2019eq_fo_2021,,646874.4,,
MRT,fpl_2019eq_fo_2022,,,741864.2,
MRT,fpl_2019eq_fo_2023,,,,790512
MRT,fpl_2019eq_gr_2020,596564.8,,,
MRT,fpl_2019eq_gr_2021,,608592,,
MRT,fpl_2019eq_gr_2022,,,624092,
MRT,fpl_2019eq_gr_2023,,,,606816
MUS,fpl_2019eq_fo_2020,354692.673235706,,,
MUS,fpl_2019eq_fo_2021,,355883.125311019,,
MUS,fpl_2019eq_fo_2022,,,369436.387148686,
MUS,fpl_2019eq_fo_2023,,,,375393.909091601
MUS,fpl_2019eq_gr_2020,359436.236858894,,,
MUS,fpl_2019eq_gr_2021,,331779.194323879,,
MUS,fpl_2019eq_gr_2022,,,327693.332038766,
MUS,fpl_2019eq_gr_2023,,,,327375.260127256
MWI,fpl_2019eq_fo_2020,2995946.8,,,
MWI,fpl_2019eq_fo_2021,,3239402.7,,
MWI,fpl_2019eq_fo_2022,,,3795942,
MWI,fpl_2019eq_fo_2023,,,,4481545.2
MWI,fpl_2019eq_gr_2020,2797163.6,,,
MWI,fpl_2019eq_gr_2021,,2761731.6,,
MWI,fpl_2019eq_gr_2022,,,2983138.6,
MWI,fpl_2019eq_gr_2023,,,,3216219.6
MYS,fpl_2019eq_fo_2020,39442.8,,,
MYS,fpl_2019eq_fo_2021,,36617.9,,
MYS,fpl_2019eq_fo_2022,,,50566.5,
MYS,fpl_2019eq_fo_2023,,,,58022.7
MYS,fpl_2019eq_gr_2020,55877.3,,,
MYS,fpl_2019eq_gr_2021,,49933.5,,
MYS,fpl_2019eq_gr_2022,,,23597.7,
MYS,fpl_2019eq_gr_2023,,,,20478.6
NAM,fpl_2019eq_fo_2020,289280.8,,,
NAM,fpl_2019eq_fo_2021,,306186.3,,
NAM,fpl_2019eq_fo_2022,,,322409.4,
NAM,fpl_2019eq_fo_2023,,,,357338.9
NAM,fpl_2019eq_gr_2020,337539.2,,,
NAM,fpl_2019eq_gr_2021,,290780.7,,
NAM,fpl_2019eq_gr_2022,,,243560.8,
NAM,fpl_2019eq_gr_2023,,,,243185
NER,fpl_2019eq_fo_2020,3238087.5,,,
NER,fpl_2019eq_fo_2021,,3815915.6,,
NER,fpl_2019eq_fo_2022,,,4324338,
NER,fpl_2019eq_fo_2023,,,,4226512.4
NER,fpl_2019eq_gr_2020,2616952.5,,,
NER,fpl_2019eq_gr_2021,,3135752.4,,
NER,fpl_2019eq_gr_2022,,,3514011.6,
NER,fpl_2019eq_gr_2023,,,,3616945.2
NGA,fpl_2019eq_fo_2020,35107855.9,,,
NGA,fpl_2019eq_fo_2021,,38885103.3,,
NGA,fpl_2019eq_fo_2022,,,41634048,
NGA,fpl_2019eq_fo_2023,,,,43713813.4
NGA,fpl_2019eq_gr_2020,36159236.2,,,
NGA,fpl_2019eq_gr_2021,,21292712.9,,
NGA,fpl_2019eq_gr_2022,,,21554293.6,
NGA,fpl_2019eq_gr_2023,,,,21812436.9
NIC,fpl_2019eq_fo_2020,355501.8,,,
NIC,fpl_2019eq_fo_2021,,365528.4,,
NIC,fpl_2019eq_fo_2022,,,390022.4,
NIC,fpl_2019eq_fo_2023,,,,413598.2
NIC,fpl_2019eq_gr_2020,361918.8,,,
NIC,fpl_2019eq_gr_2021,,329882.9,,
NIC,fpl_2019eq_gr_2022,,,290553.6,
NIC,fpl_2019eq_gr_2023,,,,270226.3
NPL,fpl_2019eq_fo_2020,574940,,,
NPL,fpl_2019eq_fo_2021,,580982,,
NPL,fpl_2019eq_fo_2022,,,583915.5,
NPL,fpl_2019eq_fo_2023,,,,452501.5
NPL,fpl_2019eq_gr_2020,438770,,,
NPL,fpl_2019eq_gr_2021,,336358,,
NPL,fpl_2019eq_gr_2022,,,278055,
NPL,fpl_2019eq_gr_2023,,,,302707.9
NRU,fpl_2019eq_fo_2020,119.396852229978,,,
NRU,fpl_2019eq_fo_2021,,122.857387299459,,
NRU,fpl_2019eq_fo_2022,,,126.176601504974,
NRU,fpl_2019eq_fo_2023,,,,132.854515508624
NRU,fpl_2019eq_gr_2020,137.27520933251,,,
NRU,fpl_2019eq_gr_2021,,141.176499965398,,
NRU,fpl_2019eq_gr_2022,,,115.69133913217,
NRU,fpl_2019eq_gr_2023,,,,105.097212118173
PAK,fpl_2019eq_fo_2020,6739011.14932293,,,
PAK,fpl_2019eq_fo_2021,,6652939.95943733,,
PAK,fpl_2019eq_fo_2022,,,6915395.92573797,
PAK,fpl_2019eq_fo_2023,,,,6827207.3661497
PAK,fpl_2019eq_gr_2020,7255106.08855946,,,
PAK,fpl_2019eq_gr_2021,,4918503.53124902,,
PAK,fpl_2019eq_gr_2022,,,3728187.55717039,
PAK,fpl_2019eq_gr_2023,,,,3239417.35169432
PAN,fpl_2019eq_fo_2020,454794.123251345,,,
PAN,fpl_2019eq_fo_2021,,478826.796613205,,
PAN,fpl_2019eq_fo_2022,,,521424.596402519,
PAN,fpl_2019eq_fo_2023,,,,547608.325666187
PAN,fpl_2019eq_gr_2020,496902.782588184,,,
PAN,fpl_2019eq_gr_2021,,455579.72324862,,
PAN,fpl_2019eq_gr_2022,,,430299.969428562,
PAN,fpl_2019eq_gr_2023,,,,428681.771541886
PER,fpl_2019eq_fo_2020,2195260.8,,,
PER,fpl_2019eq_fo_2021,,2314228.2,,
PER,fpl_2019eq_fo_2022,,,2537097.5,
PER,fpl_2019eq_fo_2023,,,,2753520
PER,fpl_2019eq_gr_2020,2774889.6,,,
PER,fpl_2019eq_gr_2021,,2297385.2,,
PER,fpl_2019eq_gr_2022,,,2199953,
PER,fpl_2019eq_gr_2023,,,,2223467.4
PHL,fpl_2019eq_fo_2020,8798260.8,,,
PHL,fpl_2019eq_fo_2021,,9327191.4,,
PHL,fpl_2019eq_fo_2022,,,9043370.1,
PHL,fpl_2019eq_fo_2023,,,,9743694.7
PHL,fpl_2019eq_gr_2020,12221025.6,,,
PHL,fpl_2019eq_gr_2021,,11364036.3,,
PHL,fpl_2019eq_gr_2022,,,9190141.4,
PHL,fpl_2019eq_gr_2023,,,,8117837.3
PLW,fpl_2019eq_fo_2020,238.793704459956,,,
PLW,fpl_2019eq_fo_2021,,245.714774598917,,
PLW,fpl_2019eq_fo_2022,,,263.823803146763,
PLW,fpl_2019eq_fo_2023,,,,277.786714245306
PLW,fpl_2019eq_gr_2020,274.550418665021,,,
PLW,fpl_2019eq_gr_2021,,282.352999930796,,
PLW,fpl_2019eq_gr_2022,,,241.9000727309,
PLW,fpl_2019eq_gr_2023,,,,219.74871624709
PNG,fpl_2019eq_fo_2020,1174921,,,
PNG,fpl_2019eq_fo_2021,,1189835.8,,
PNG,fpl_2019eq_fo_2022,,,1247971.2,
PNG,fpl_2019eq_fo_2023,,,,1339370.5
PNG,fpl_2019eq_gr_2020,1332511,,,
PNG,fpl_2019eq_gr_2021,,2010135.2,,
PNG,fpl_2019eq_gr_2022,,,1975651.2,
PNG,fpl_2019eq_gr_2023,,,,1959466.6
POL,fpl_2019eq_fo_2020,3453066.37375612,,,
POL,fpl_2019eq_fo_2021,,3640341.632277,,
POL,fpl_2019eq_fo_2022,,,3914026.067424,
POL,fpl_2019eq_fo_2023,,,,4117424.30354406
POL,fpl_2019eq_gr_2020,3421198.45170907,,,
POL,fpl_2019eq_gr_2021,,2817457.2420119,,
POL,fpl_2019eq_gr_2022,,,2460004.44795133,
POL,fpl_2019eq_gr_2023,,,,2318526.97440908
PRK,fpl_2019eq_fo_2020,280484.914406806,,,
PRK,fpl_2019eq_fo_2021,,289842.914346204,,
PRK,fpl_2019eq_fo_2022,,,298889.427765009,
PRK,fpl_2019eq_fo_2023,,,,315940.115562737
PRK,fpl_2019eq_gr_2020,322484.425851036,,,
PRK,fpl_2019eq_gr_2021,,333061.031872914,,
PRK,fpl_2019eq_gr_2022,,,274051.747615177,
PRK,fpl_2019eq_gr_2023,,,,249930.724709027
PRY,fpl_2019eq_fo_2020,218339.4,,,
PRY,fpl_2019eq_fo_2021,,264513,,
PRY,fpl_2019eq_fo_2022,,,294342.4,
PRY,fpl_2019eq_fo_2023,,,,297679.8
PRY,fpl_2019eq_gr_2020,265681.6,,,
PRY,fpl_2019eq_gr_2021,,233772.3,,
PRY,fpl_2019eq_gr_2022,,,222022.4,
PRY,fpl_2019eq_gr_2023,,,,211374.6
PSE,fpl_2019eq_fo_2020,129856.8,,,
PSE,fpl_2019eq_fo_2021,,133224,,
PSE,fpl_2019eq_fo_2022,,,144480,
PSE,fpl_2019eq_fo_2023,,,,148092
PSE,fpl_2019eq_gr_2020,241618.8,,,
PSE,fpl_2019eq_gr_2021,,213486,,
PSE,fpl_2019eq_gr_2022,,,122640,
PSE,fpl_2019eq_gr_2023,,,,125706
ROU,fpl_2019eq_fo_2020,420719.6,,,
ROU,fpl_2019eq_fo_2021,,416772,,
ROU,fpl_2019eq_fo_2022,,,416683.4,
ROU,fpl_2019eq_fo_2023,,,,418509
ROU,fpl_2019eq_gr_2020,422658.4,,,
ROU,fpl_2019eq_gr_2021,,372393.5,,
ROU,fpl_2019eq_gr_2022,,,326434,
ROU,fpl_2019eq_gr_2023,,,,319137
RUS,fpl_2019eq_fo_2020,4026036,,,
RUS,fpl_2019eq_fo_2021,,4452716,,
RUS,fpl_2019eq_fo_2022,,,4819617.6,
RUS,fpl_2019eq_fo_2023,,,,4654130
RUS,fpl_2019eq_gr_2020,4874379.3,,,
RUS,fpl_2019eq_gr_2021,,3260537.2,,
RUS,fpl_2019eq_gr_2022,,,3485616.3,
RUS,fpl_2019eq_gr_2023,,,,3179128.8
RWA,fpl_2019eq_fo_2020,1184373.5,,,
RWA,fpl_2019eq_fo_2021,,1085036.9,,
RWA,fpl_2019eq_fo_2022,,,1476252,
RWA,fpl_2019eq_fo_2023,,,,2014572.3
RWA,fpl_2019eq_gr_2020,1308700,,,
RWA,fpl_2019eq_gr_2021,,1101091.7,,
RWA,fpl_2019eq_gr_2022,,,820140,
RWA,fpl_2019eq_gr_2023,,,,725972
SDN,fpl_2019eq_fo_2020,15975192.9,,,
SDN,fpl_2019eq_fo_2021,,6127078.2,,
SDN,fpl_2019eq_fo_2022,,,3370224.6,
SDN,fpl_2019eq_fo_2023,,,,2637320.4
SDN,fpl_2019eq_gr_2020,18139180.6,,,
SDN,fpl_2019eq_gr_2021,,19741321.1,,
SDN,fpl_2019eq_gr_2022,,,21079887.2,
SDN,fpl_2019eq_gr_2023,,,,27864879.9
SEN,fpl_2019eq_fo_2020,493640,,,
SEN,fpl_2019eq_fo_2021,,517525.9,,
SEN,fpl_2019eq_fo_2022,,,632806.8,
SEN,fpl_2019eq_fo_2023,,,,641941.5
SEN,fpl_2019eq_gr_2020,478160,,,
SEN,fpl_2019eq_gr_2021,,468069.5,,
SEN,fpl_2019eq_gr_2022,,,440607.6,
SEN,fpl_2019eq_gr_2023,,,,442846.6
SLB,fpl_2019eq_fo_2020,31428,,,
SLB,fpl_2019eq_fo_2021,,29568,,
SLB,fpl_2019eq_fo_2022,,,33264,
SLB,fpl_2019eq_fo_2023,,,,35978.4
SLB,fpl_2019eq_gr_2020,56764.8,,,
SLB,fpl_2019eq_gr_2021,,61050,,
SLB,fpl_2019eq_gr_2022,,,72710.4,
SLB,fpl_2019eq_gr_2023,,,,74008.8
SLE,fpl_2019eq_fo_2020,2174299.4,,,
SLE,fpl_2019eq_fo_2021,,2484648.6,,
SLE,fpl_2019eq_fo_2022,,,2668593.6,
SLE,fpl_2019eq_fo_2023,,,,2839028.4
SLE,fpl_2019eq_gr_2020,2010140.6,,,
SLE,fpl_2019eq_gr_2021,,875292.6,,
SLE,fpl_2019eq_gr_2022,,,836762.4,
SLE,fpl_2019eq_gr_2023,,,,835309.8
SLV,fpl_2019eq_fo_2020,263088,,,
SLV,fpl_2019eq_fo_2021,,256612.2,,
SLV,fpl_2019eq_fo_2022,,,290642.4,
SLV,fpl_2019eq_fo_2023,,,,317059.6
SLV,fpl_2019eq_gr_2020,313632,,,
SLV,fpl_2019eq_gr_2021,,207113.4,,
SLV,fpl_2019eq_gr_2022,,,198998.4,
SLV,fpl_2019eq_gr_2023,,,,192077.6
SOM,fpl_2019eq_fo_2020,4483771.97995373,,,
SOM,fpl_2019eq_fo_2021,,4626759.53431387,,
SOM,fpl_2019eq_fo_2022,,,4935831.88709675,
SOM,fpl_2019eq_fo_2023,,,,5162252.80299247
SOM,fpl_2019eq_gr_2020,4543736.73046506,,,
SOM,fpl_2019eq_gr_2021,,4313389.54125301,,
SOM,fpl_2019eq_gr_2022,,,4378126.39396281,
SOM,fpl_2019eq_gr_2023,,,,4501921.35059372
SRB,fpl_2019eq_fo_2020,377753.6,,,
SRB,fpl_2019eq_fo_2021,,376451.6,,
SRB,fpl_2019eq_fo_2022,,,487408.8,
SRB,fpl_2019eq_fo_2023,,,,534618.9
SRB,fpl_2019eq_gr_2020,377753.6,,,
SRB,fpl_2019eq_gr_2021,,266291.8,,
SRB,fpl_2019eq_gr_2022,,,248889.6,
SRB,fpl_2019eq_gr_2023,,,,213503.2
SSD,fpl_2019eq_fo_2020,9335099,,,
SSD,fpl_2019eq_fo_2021,,10047731.7,,
SSD,fpl_2019eq_fo_2022,,,10175822.6,
SSD,fpl_2019eq_fo_2023,,,,9884526.4
SSD,fpl_2019eq_gr_2020,10019682,,,
SSD,fpl_2019eq_gr_2021,,10174776.8,,
SSD,fpl_2019eq_gr_2022,,,10540829.6,
SSD,fpl_2019eq_gr_2023,,,,10779518.4
STP,fpl_2019eq_fo_2020,18268.4,,,
STP,fpl_2019eq_fo_2021,,19244.9,,
STP,fpl_2019eq_fo_2022,,,21088.3,
STP,fpl_2019eq_fo_2023,,,,23253.4
STP,fpl_2019eq_gr_2020,16786,,,
STP,fpl_2019eq_gr_2021,,17460.9,,
STP,fpl_2019eq_gr_2022,,,18364.3,
STP,fpl_2019eq_gr_2023,,,,19944.8
SUR,fpl_2019eq_fo_2020,113634.8,,,
SUR,fpl_2019eq_fo_2021,,114617.8,,
SUR,fpl_2019eq_fo_2022,,,115404.2,
SUR,fpl_2019eq_fo_2023,,,,116190.6
SUR,fpl_2019eq_gr_2020,127275.6,,,
SUR,fpl_2019eq_gr_2021,,130067.3,,
SUR,fpl_2019eq_gr_2022,,,130959.7,
SUR,fpl_2019eq_gr_2023,,,,131852.1
SVK,fpl_2019eq_fo_2020,496168.407076889,,,
SVK,fpl_2019eq_fo_2021,,524322.312464776,,
SVK,fpl_2019eq_fo_2022,,,565206.064159953,
SVK,fpl_2019eq_fo_2023,,,,596066.820321175
SVK,fpl_2019eq_gr_2020,491589.330277464,,,
SVK,fpl_2019eq_gr_2021,,405801.390535509,,
SVK,fpl_2019eq_gr_2022,,,355237.652455811,
SVK,fpl_2019eq_gr_2023,,,,335646.000893165
SVN,fpl_2019eq_fo_2020,189475.903069347,,,
SVN,fpl_2019eq_fo_2021,,200263.998266678,,
SVN,fpl_2019eq_fo_2022,,,215815.379727865,
SVN,fpl_2019eq_fo_2023,,,,227615.01491978
SVN,fpl_2019eq_gr_2020,187727.253418503,,,
SVN,fpl_2019eq_gr_2021,,154995.137606848,,
SVN,fpl_2019eq_gr_2022,,,135642.120139549,
SVN,fpl_2019eq_gr_2023,,,,128170.310603595
SWZ,fpl_2019eq_fo_2020,595458.2,,,
SWZ,fpl_2019eq_fo_2021,,597781.8,,
SWZ,fpl_2019eq_fo_2022,,,601384.2,
SWZ,fpl_2019eq_fo_2023,,,,607070.7
