cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,4300546.35466984,4339771.31959473,4461791.11973739,4466934.68433416,4423177.41040415,4207545.71660732,4039979.81675503,3796629.33252627,3618497.03233162,3472340.19708148,3032477.82846302,2203507.58769919,1918586.34025879,2001464.71996192,2022513.44324093,1905885.66179229,1871486.0164721,1500421.81643308,1239602.55466382,1103512.11059576,1457672.36141375,962223.116786094,758157.583546858,651838.978485672
AGO,5981235.8,5280014.7,5025878,5946920.1,6357505,6285968,6551027.9,6521978.8,6932736,8115745,8798428.5,9532598.4,9930487.2,10573386.6,11064120,12021590,13496477.6,14695919,15873745,17038368,19115162.1,20004238.8,20516963.2,21315142.7
ALB,125192.2,108645.6,91698.6,72175.2,71563.8,42182.3,31761.6,25099.2,15558.4,28731.4,34115.6,41549.2,50224,96327,128816.1,39752.8,41270.7,57721,38142,14690,19711.4,15603.2,15619.1,15913.8
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,7885942.4,9353011.2,15129477,10485173.3,8775991.4,7480609.5,6103953.7,5919557,5338500.4,4593967.4,4307908,3419957.6,3283566,3011761.2,3352518,2995773,3078059.4,2629697.4,3266765.9,4108792.2,5966492.1,5197464.8,4631400,5072380.2
ARM,305772,309880,212380,137922.6,125441.8,60812.4,39946.5,31687.2,21519.2,27147.2,18988.2,32487.5,21903.2,46882.8,34581.4,28294.9,20475,20803,34327.8,25258.2,47317.9,47334,37632,32622.9
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,3635854.8,3466114.4,664643.1,802656,582981,262116.6,16398.9,872.5,882.2,0,0,0,0,0,0,0,0,982.8,992.4,0,1010,1017.9,1025.2,1032
BDI,4552391.2,4229931.2,3941462.7,4262189,4322127.6,4633436.6,4454570,4560955.5,5112791.2,5241957.5,5316308.8,5372446.3,5525235.1,5323200,5146807.6,5782833,6233365.2,6970342.4,6724591.5,6843731.2,7556826,7891837.8,8541682.5,9251741
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,658449.4,596591.1,643507.2,573024,544050,724765.6,675437.4,576631,811430.1,950853.5,1098360.6,1288588.2,1352331,1615646,1753933.5,2091932.8,1760176.8,1163421.6,481263.4,139251.8,140626.8,166830,139312.9,142986.2
BFA,3647233.6,3000332.8,2774530.1,1991739.6,1735729.2,2038801.8,1830959.6,1691712.4,2128581,2296889.7,1999000.5,1815657.8,1521217.8,1140476.4,731577.6,1090282.2,1230702,1203463.8,1171293.6,957119.1,1122491.1,1141490.7,1726244.3,1467647.4
BGD,44014179,44456470.5,44586566.4,42470304.5,39339868.8,35327055.3,33478250.4,31973304.7,31219498.8,30316682.5,29456046.4,29658842.4,26162136,25589530.4,25377276,24421951.5,22585147.2,22658592,21794208,20941023.6,20016472.5,15417850,11935478.1,9709614
BGR,2200642.71166107,2002893.98941344,1779996.10880769,1757589.45605496,1493789.84275972,1368214.19926462,1118420.84886584,962052.113267649,854109.301420449,817842.16596907,775324.42825087,729090.983445485,695084.255060177,627012.605305147,666797.288481258,667264.084542022,613730.718878078,626157.768974321,573774.79251129,604672.589577401,651217.683385635,573012.573696359,538437.741852111,533626.522651836
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,1036341.18445862,952448.07491527,854470.54498574,851318.316746252,729435.541195207,673511.141691892,554443.38474923,479818.247055915,428078.21711672,411005.17648687,389703.919236967,365536.643141238,346829.074334499,311090.069106118,329243.856372773,328705.182911757,302648.757472546,309941.467296111,285623.575126765,302985.177951074,328236.232922615,290330.804896646,274175.267439305,272939.677099666
BLR,5380254.4,4291793.1,4026754.2,3953466,3000527.6,1984056.4,1376885,943209.3,859432.8,803464.2,628059.9,673174.8,313523.2,151664,115717,184028.4,185808,142966.8,74670.8,51887,51788,43226.2,43138.8,43046.8
BLZ,24255.4,22134,21431.6,22004.2,23211.6,24564.4,25462.5,29263.6,33063.9,39344.2,38199,38427.2,36187.2,36360.8,35486.1,36294.9,37103.7,37912.5,38721.3,38298,49232.6,43335,44587.8,50099
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,3039930,2574591,2740721.8,2502921,1965566.4,2389186.8,2116752,2006425,1805760,1643415.6,1478922.9,1328412.2,1408886.4,1230320,1303350.8,1270912.5,1465524.8,1444365.7,1314398,978680,1120922.4,1072452.8,1058982.4,1092778
BRA,37704448.8,36598930.9,35561807.4,40292025.6,35894593.4,31327456.8,24722769.6,24260429,23678523.3,22393550.4,20781657.6,19868600,19053295,18135756.8,16929257.7,18536580,22571881.1,22665890.4,21845821.2,22131350.6,25791877.8,26522249.6,26082974.4,25760153.4
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,115661,140653.2,96354,56409.6,46528,29651.2,140649.6,28441.8,43111.5,30773.4,16502.9,16524.3,15511.8,10710,13114.4,11032,11650.8,12266.4,1715.7,6195,12107.5,10465.6,8359.4,6888
BWA,549303.3,568971,557496,535427.2,490354.9,434304,383220.5,356769.6,361177.6,463283.9,417911,399945,441823.5,392374.7,370944.8,433381,407205.9,400695.9,363248.1,347553.6,364574.4,355282.2,333715.2,370002.4
CAF,2893227.5,2888932.1,2882975.3,2986148.1,2961366.5,2985884.5,2956527.2,2919397.5,2918971,2825166,2790857.7,2733940.8,2637115.2,3460050,3460747.5,3408590.8,3390372,3410853.9,3397146,3410534.2,3629729.6,3730079.8,3762782.4,3873024
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,931043,875731.5,851508,796320,603817.2,453730.7,303533.4,295188.9,341571,380335.4,309272.6,260725.6,199053.5,150181.8,146187.9,143872.2,121788,97497,125559.3,155864.5,190271.9,145119,157365.6,167845.1
CHN-R,59160901.8,54085593.6,47418414.8,36111090.6,28769438.4,14661052,9699482,20805300.4,29540255.1,23536946.6,19814537.4,16242144,12802307.6,2533962.6,2352637.6,1181184.4,1153700.9,948096,809233.6,225461.2,274736,160650.9,156530.7,152490
CHN-U,2854337.4,2585746.8,2345347,2494128,2757243.6,2472725.2,2274070.5,2296036,2565267.5,2136321,1740320.4,1519592.8,1423734,1759341.6,1885657.5,1240564.8,716660.1,490174.8,251106.6,171281.8,262522.8,178595.4,182016.2,185275.2
CIV,1271549.4,1363200,1472636.8,1967784,1835796,1971120,2122450,2502174.6,2762866.6,2998374.4,3221317.9,4402787.2,4202407.8,3760579.2,3309950.8,3235260,2277185.6,1348372.5,856766.4,541257.2,546973.9,662651.6,756195,696120.1
CMR,6469879.1319108,6431492.90736263,6468187.57205921,6437029.14776333,6099705.5450145,6115222.83785854,5956285.27140369,5895948.43619446,6174292.84286594,6295814.73481839,5993745.68532137,6053460.39943346,6094001.37732006,6000841.19712125,5929015.44864552,6193736.78646335,6378173.74604701,6614220.08112777,6602034.21889544,6870304.49439614,7502412.92489201,7038819.58825658,7302782.02994328,7495326.44181709
COD,40089921.6,41914043.4,43201961.5,44200539,45069143,45875862.9,45816792.9,44754029.8,43679865.5,45489920.1,43204600.8,41115221.9,39055909.8,37013004,35917358.4,35652576.3,37305116.8,38441284,38617098.5,39218401.6,42801291,43591825.6,44553905.9,44211264
COG,1571220,1615223.6,1600949.3,1691115.8,1728958,1703302,1529514,1809080,1699084.8,1639956.8,1428407.2,1548410.3,1413528.3,1534896,1430125.6,1575423,1833570.2,1971296.7,2197393,2256702.4,2534127.2,2484700.6,2523452.8,2596564.7
COL,7313124,9181536,6663991.6,6529344.8,5977087.6,5531950.8,5724981.6,5999500,6699378.4,6044869.6,5129040.6,4492197.6,4411502.1,3934203.3,3550945.6,3467593.2,3790068.7,3267795.6,3210213.6,3933165,4675482,4172520,4546977.4,4934700.9
COM,114470.4,113702,120912.5,122721.5,123965.4,126904.7,132673.2,149778.6,154066.5,148665.7,151041,158285.2,168764.4,171171,188763.3,195182.4,201547.2,203988.4,207584,213771.2,213687.1,215428.8,226296.5,232055.6
