cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CPV,52504.5,46309.2,42985.2,38962,34772.4,30970,27792,23035.1,17170.8,16599.8,14536.7,14325.6,13107,11804,10381.9,9700.6,9234,7931.5,6869.6,5824,16159.5,12570.6,6984,7114.8
CRI,447450,350848.8,325852.6,331730.4,324492.5,286315.2,286979.4,218500,268901,281909.2,187749.8,225860,210406,202828.6,200311.8,214392.2,198165.6,157482.6,197624.7,171465.7,200751.2,204537.6,195414.9,205766
CUB,2288667.57352224,2281646.52784767,2281308.04113443,2244492.74756968,2054119.79278801,1908297.7828726,1579473.87123853,1562558.95551231,1575063.77525912,1515002.24402596,1367608.56532545,1289796.34920499,1224599.31151164,1169505.00879637,1134782.51411276,1150838.83514473,1220157.64375445,1168827.2089286,1130647.14209935,1152382.57150391,1413330.9788895,1327589.82233943,1310318.29355045,1327520.31719096
CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,2831638.55233118,2594164.45968039,2319923.73601531,2305991.59924997,1975514.39879368,1826778.76559372,1510638.20622548,1316639.57777187,1185403.62832295,1150200.23502571,1103148.97718449,1047547.93420817,1006545.89089346,914285.515167635,978591.035809035,985650.75068251,913023.405397701,938397.062945567,866410.536482161,919683.735471136,997751.819515771,884128.802769456,836450.916331333,834841.964861107
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,152004,158401.3,159867.8,166828.2,174636,177506.1,186099.5,196667.9,236612.5,258633,258533.8,262571.2,262185.6,291289.6,284635.2,292932,299591.1,298966.8,309582,303885.2,280600,271650.6,299867.6,281590.5
DMA,14161.7848240548,14276.8621569086,14235.2971010349,13971.9424037241,12945.3670591114,12007.1909415061,9787.81612842575,9814.3741897889,9887.66826201567,9503.90168986065,8688.59231478273,8178.36522613468,7746.5428245333,7377.93399047916,7141.98785105934,7330.18366334221,7761.54653137631,7530.97200354519,7282.43437334422,7520.77035005164,9220.58310862149,8774.40007807605,8542.58275524023,8767.07891088918
DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,959912.3,847087.8,1042176,1266281.6,2052726.5,1352296.8,1032684.2,992217.6,1112109.8,1037361.6,970004,826224.8,888562.5,798911.4,660781,630687.1,577175.8,352080.9,243779.2,266103.2,332129.2,308495,280835.2,289179
DZA,2173524.8,2037684,1590151.5,1432212.6,1214747,862159.2,803916.4,727160,617039.7,524882,408133.4,294552,293014.8,268373,258152.4,243213.1,215217.1,218990.7,205839.2,196323.4,212331.7,219845,240759,248484.5
ECU,3329004.4,3125606.4,2664073.6,2650026,2801766.6,2306106.5,1734825.6,1802614.5,1882574.4,1811400.3,1604019,1452438.9,1364670,1091571.7,974915.2,1155910.4,1182997,1095587.5,1160174.4,1222721.5,1537703.2,1296518.4,1270920,1328663.6
EGY,775956.6,954441.8,1335656,1827355.4,2321765.6,1811960.8,2047765.8,2513369.2,3092442.8,2968740,3313855.2,3350022,3240299.7,3520473.6,4039772,4173121,6257995.2,10672298.2,12471688,9995398.4,6547047.6,5245069.2,7374628.8,13309202.7
ERI,1437233.19985422,1435102.77546242,1453281.31087485,1457131.65108335,1387980.64144177,1393221.94153381,1353050.78012891,1331115.73011773,1382333.61209348,1396658.12390275,1317537.60745886,1320138.17190374,1318348.44575994,1288843.79625079,1265247.63126221,1314694.20643696,1348344.67817155,1393842.2545621,1387930.6883714,1441208.74117029,1569902.80858328,1469230.93273082,1520308.63110993,1555851.31427474
ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EST,385256.945895399,351579.878091238,312958.888695784,309222.235156774,263144.691401815,241480.991045533,198015.494553297,170873.270811645,152397.664967164,146434.990821983,139464.164541547,131724.023518087,125972.731220727,113994.446959551,121689.12021854,122241.887875837,112987.722081732,115775.113247193,106568.659061,112819.152498059,121986.021383476,107834.78062742,101724.137962417,101242.947850783
ETH,36868151.7,30581678,35516892.4,39776971.8,30849561.6,28995133.3,30058001.2,32805000,39903844.5,37062002.4,32950017.1,35928753,38539903.6,37176726.6,36405147.4,37801930.5,36230181.4,34216308,31002340.5,30617530,28967787.1,28158576,27627210,23979162.6
FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJI,161669.2,164102.4,157814.4,162664.7,144213.4,144178.8,140097.6,146292,150391.2,161624.4,157294,166377.3,171566.2,157165.2,168694.4,198470,231773.8,202672.2,208848,253827,374589.6,456351,360079.2,357960
FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,2557.3,2546.6,2546.6,2439.6,2557.3,2416.8,2968,4504.5,8122.4,6260.8,6427.2,6870.1,7745.6,9620,9828,8850.4,8872.5,8617.8,8109,8014.3,8780.4,8861.7,9003.4,9124.2
GAB,206561.8,217568.8,235378.6,248203.2,270543,284809,309663.5,295119.8,338688,355964.1,309468,295108.3,291134.9,260557.8,229247.2,227547,197702.1,171922.5,176814,177366.9,205850.7,232125.2,265650.6,273731.7
GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEO,1342464.6,1395993.6,833887.5,871841.6,827001.6,930603.8,979687.3,1082820.6,1012956,981523.2,1135022.4,1151472,941142.8,760460,657482.4,577636.2,573050,582496.8,559873.1,572326.4,522076.1,375192,446902.8,428184.9
GHA,10702428.9,10961212.4,10588145,10397299.5,10098944.4,9657278.6,9298937,9220740,8618300.1,8234583.5,7434489.6,6001645.8,4740018.6,4131052.8,3699186.4,3318114.6,3088666.5,2739230,2651670,2552225.6,2778353.6,2917782,3006490.2,3380827.5
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,2992958.4,3284283.1,3572567,3673726,2796997.7,3490247.4,3739958.5,3810607.8,3394531.2,3539762.1,3989462.4,3476025,2635241.6,2601368,2560721.4,2623747,2525065.2,2501433.9,2542529.6,2513464.8,2579687.6,2781081,2828415,3213107.2
GMB,535796.8,619612.5,742460.8,609343.5,545919,566048,563598,560349.9,518323.2,655672,417924,487238.3,420226.4,365107.6,334516.5,264324.9,280225,309267.2,307288,316376,361606.1,384208,414046.2,428064
GNB,526943.147839272,519952.878613352,520350.308874394,514946.739187026,485559.436627724,484766.818155252,470206.77627205,463470.586503788,483637.155565899,491794.71864634,466990.550616396,471119.700677156,473460.809944043,466100.895569519,460138.519081033,480363.8208376,493894.165667278,511726.264695218,510174.214094886,530071.689549072,578020.179890751,541671.458187708,561114.085368273,574831.159366713
GNQ,260506.459743691,262643.916584487,267815.537643235,270532.200602419,260763.401151926,265726.633847593,263555.390521913,266030.834576863,283781.69357648,294493.675394943,285416.46120578,293232.925781523,300320.989946191,300388.448749916,301249.436014813,318705.527659051,332528.193082873,348391.820187449,351530.633099465,369123.142747946,406348.186463198,384036.600238551,401025.238493164,414232.341987674
GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRD,20729.5690902831,20803.4277143526,20742.8614900795,20558.715251194,18779.8986913869,17418.8826334525,14402.072303255,14237.7541063135,14483.3450598539,13921.2081090917,12670.8637923915,11926.7826214464,11404.632491674,10861.9583748721,10514.5932251707,10643.8283330723,11482.835964228,10991.1483294984,10628.4177340699,10930.186242075,13400.5807845299,12584.3369540828,12643.0224777555,12804.5494619566
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,1177815,1363027.5,1491939.8,1575000,1728874.7,1931660,2045721.9,2104473.6,2218550.4,2399361.6,2408262.6,2580197.4,2756415.5,2957191.2,3111549.6,3317033.2,3570104.6,3810724.2,3964625.5,4095674,4629993.5,4265447.2,4298717.8,4479779
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,137949.6,132577.6,131575.2,132201.6,130848,132401.3,125400,107343.9,104440,100426,98230.5,93924.6,88929.3,87170,86332,86784,81966.6,77622.3,76948.8,74292.8,50228.5,44758.5,31720.3,26579.3
HKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,3147177.6,3022558.8,3421205.5,3725909.8,3696372.4,3627516,3273228,3155655.2,3134241.3,2878940.5,3086237,3139140.9,3604419,3380949,3350062.7,3437439.6,3308930.3,3187160,3251690.1,3222839.2,3593114.3,3164988.3,3225474,3376480.8
HRV,1218512.68316059,1113336.28062225,994543.973838011,988475.156666481,845767.101983546,779648.80442282,640983.489776227,554575.30303601,494951.222341118,476160.520717775,453153.831933797,427483.606797223,408531.944192803,369165.968276276,393135.260918471,393776.910298134,362541.716017014,370215.228543886,339600.967856973,358183.505630339,386226.510780298,340298.964616831,320120.276387528,317866.72610715
HTI,4904280,5015284,5062455,5203069.2,5268046.3,5219337.6,5192438,5155045.8,5303782.5,5099912.8,5236000,5205399.5,2119534,2085356.8,2089224.8,2006357.6,1943782.4,1855789,1872540.5,2122678.4,2564386,2679034,2811603.7,3032817.2
HUN,2812650.88856919,2574716.43481471,2300915.38702728,2284145.60011653,1951399.23279278,1796326.51672293,1474995.41720589,1274429.81147019,1136272.44081115,1092394.06261883,1039384.95600897,981041.674027108,938378.00539515,849306.091579034,906113.069669768,909516.829640449,839275.897534757,859122.042653405,790010.51082022,835415.442117525,902790.393638788,797079.446318485,751405.446000805,747344.180605272
IDN-R,33138298.9,27112161.5,15453469.6,12247356.2,16313115,12892996.4,20260013.5,17455443.6,19704938,16800672,16216378.5,14542881.4,12805584,11999820.8,10005800.4,9087735.8,9743597.3,7840153.5,6865459.2,4816621.6,6999416.2,6902473.2,5975091.2,5044738.5
IDN-U,5100047.4,2899995.2,767588.4,792390.6,1039888,1041560,2008772.7,1738806.4,2214471.2,2304901.2,2082111.6,2274964.5,2169506,1951065.6,1987462.4,2463666.5,2241470.7,1904694,1535071.2,679050,1356863.2,1385692,1141140.4,852607.6
IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND-R,177095482.5,171999895.3,170163635.2,165015865.5,159329947,149297431.6,141171930,130730044.2,122002119.9,114882363.2,95481502.8,60686503.2,50774623.2,52684912.8,52054051,47519190,43796610,27654648.7,17776112.8,15606216.6,25472801.7,13993911.5,9865699,7890195.3
IND-U,36331345,36405216.3,37182844,37230396,37072513.7,34919607.6,32984640,30058474.8,28641160.8,27632606.4,23872711.5,15291214.4,12985440,13748280,13659465.2,12400094.1,15246902.4,13903856.7,12901840,9672474,14734519.5,9496128,7392053,6477987.5
IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRN,1858309.2,1549917.6,1114937.6,1121651.9,1051231.8,950683.5,804865.1,857168.9,1289356.5,1495866.4,1334749.3,943637.5,970953.1,1029885.5,1599604.8,1690368,1581476.6,1647608.9,2009294,3793156,3611001.6,4468324,5846761.6,6035434.5
IRQ,1951182,1508474.4,1785632.4,6832158.2,847407.4,486144,337903.4,337841,331876.8,421505.4,624488.9,656748.9,563747.2,548904.6,612622.5,592286,360869.1,401887.5,413070,367758.3,356925.8,289761.6,262416,403875
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM,317245.8,307051.9,299145,246792,229508.9,259033.6,226872,234765,299925,368445.6,364519.8,354882,408251.7,440634,442179,478475.2,485040.6,475858.6,463550.1,480652.4,661542.3,644807.1,624858.8,623956.8
JOR,1147154.4,1081910.2,989384.8,938538.3,822649.6,725106.6,686563.8,809425.1,909108.9,705973.5,746928,785527.5,802396.8,965085.8,1259687,1699910.4,1760707.2,1626222.8,1628053.2,1655508,1895811.3,1784328,1648152,1454838.6
JPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZ,5428048.5,5316640,4744794.6,4015155.2,3135666.8,4276883.2,1231743.5,703384.8,753647.1,776832,524768,241381.5,196283.6,98079.9,106676.8,136667.3,246421.9,143819.5,99381.6,87387.1,157726.8,153551.7,166439.7,156305.7
KEN,4110515,4702851,5576630.6,6491716.2,7285077.5,7966608,8273711.6,8451283.4,9239164,9737354,9944675,11123096.6,11225751.2,11542952.5,11869847.5,12867358.8,14146057.8,16569980,16039374.8,16969875,18743596.8,18795361.1,20419456.2,20461317.5
KGZ,2486089.2,2258165,2207576,1848425.6,1004577.2,1198715,897737.7,948549.2,650909.4,336420,480389.2,432850.2,373186.5,467224.8,236197.5,329026.5,144135.2,152334,82182.2,84564.8,189060,109132.2,102052.2,92129.4
KHM,1248806.85393416,1146938.04125839,986223.947909302,844719.520905553,811446.010116824,656012.837379337,650870.95669084,664962.86896852,738655.465128541,646121.342785701,554285.358279783,504599.996464021,456728.691233896,366224.733857104,337827.484101135,294365.998815614,274620.084337553,230576.902217629,207393.927255869,163192.117835717,225509.400670603,239645.860972813,201062.428544432,193591.728741922
KIR,14557.2,16262.6,16068.9,16767.6,18621,18602.4,19893,21100.8,25293.8,33087.6,32836.4,28579.2,26394,23241.6,20482,15254.4,11616.6,10718.4,12248.4,8016,9089,7824.4,8164.8,8460.8
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO,232344.4,222556.5,224868.2,279558,326304,392422.8,434580.7,550375,499372.5,545067.2,471573,530789.2,445270.4,524796,540547.2,571771.2,598758.8,536295.6,501192,491654.4,580365,569419.2,531983.4,576552.6
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3612,100094.4,188000,4321635.9
LBR,1635506.5,1774859.4,1876393.8,2549394.3,2611811.7,2719674,2793977.6,2940029.7,3064465.8,3035080.4,3032458.8,3021496.2,3007276.2,2967461.4,2980610.8,3070350,3129214.8,3058291.6,3101706,3343050.9,3635579.2,3546249.6,3550306,3618016.8
LBY,205598.788008699,211570.450075832,225256.004931637,346275.314470435,244020.209153166,222939.917027065,233100.666868767,267589.170108363,302549.952349764,293254.29881467,284311.293782514,321102.462592593,320893.818018776,324661.710780349,345403.273463112,457060.000996533,526201.558121027,646757.918523889,770984.79608853,703630.813615938,858455.630287788,863945.551631237,919521.826559809,1099099.25072004
LCA,23079,45935.1,49200,28867.3,13591.8,17367.6,10823.2,11189,32448,12568.5,13165.3,11083.8,13055,15610,15098.1,16071.6,14880.8,13478.7,13554,14027.5,19910,16489.1,14182.5,14182.5
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,1093112.4,1359844.7,1357000.8,1089490.5,1071326.9,1155880,1036609,1048001.9,1097030,967615,874573.4,828852,943588.8,837542.4,831106.9,685633.4,578184.4,745308.9,513275,393036.6,740048.4,818350.2,1681477.2,2164166.2
LSO,450561.6,422464,506883,494076.8,459280.8,397800,360761,338129.2,3e+05,317342,267371,236740.8,210045,199939.2,226617.6,208704,192409.2,181766.2,188507.9,214302,219196.8,237921.2,239766.7,244754.4
LTU,963692.731804061,877181.692967577,779568.598378145,769114.299388479,652267.009992328,595510.644584264,484624.588151179,414469.391998485,365640.666320472,347604.858363195,326986.926323763,305274.636896696,288739.007333847,258709.577581177,273477.370324216,272557.578138368,250242.418746137,255412.272736173,234581.508889439,247873.368026793,267618.563835134,236122.418644466,222487.132372555,221022.230606751
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVA,656037.542153307,595816.761793987,527934.264155649,519124.000026484,439667.706528399,401043.651795384,326358.870652655,279576.132823518,247020.692767672,235283.18750049,221760.585960208,207348.876749314,196422.386944922,176126.166725544,186134.496479952,185268.503830071,169524.609673277,172248.622686091,157366.114757253,165335.429772845,177630.414214554,155890.681323371,146253.033621139,144677.664810816
MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,305810,306411,301032.6,259642.8,247467.8,238063.8,209909.2,184233.4,173783.5,150353,139358.7,108434.7,83332.5,77795.2,54908.8,55686.4,56443.2,50036,50668.8,47625.5,59313.6,48747.4,53079.6,61310.4
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,4024978.1,3902607.8,3720453.9,3538690.4,3576511,3687674.7,2559952,2209305.6,2353708.8,2107392,2023300.5,1914966.9,1921298.4,1713090.4,1821732,1692675.8,1827000,1818493.9,1762684.2,1804231,2160478.6,1576768.5,1811514.9,1694202
MDG,8481069.3,8784192.2,10077441.5,9432606.1,9772066.7,10351236.5,9978608.5,10761995.4,11190321.2,12711642,13458381.3,14822884.8,14954612.4,15360909,15660737.1,15895080.6,16191057.6,16536765.7,17189133.5,17303952,17752700.1,18346140.4,19028587.2,19594421
MDV,60143.0112806562,59406.3898084369,59680.0086079524,58487.5037792723,57034.2126388196,53536.2404211134,51020.4843038233,47926.7932422446,45738.3115759657,44016.4531320809,38428.4417383259,27814.57336028,24125.2997797795,25103.4589230066,25252.0910399152,23613.8425654082,23112.7659005673,18454.3859775192,15131.6507923663,13405.022279268,17581.7005357748,11498.01483542,8995.73603404014,7681.14518671153
MEX,17078620.1,15686797.4,14557522.5,14261535,12967794,13971193.6,10722960.8,12324327.2,14378116.5,15962791,13409561.7,13338080,14789469.6,15451789.6,15689238.6,15572716.7,15062474,14530950,13768922.7,13881207.2,19009540,17274998.4,17286554.7,17414865.7
