cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BOL,2022450,1616979.1,1703972.6,1385813,916427.4,1424568.6,1159571.6,894157.4,800640,856840.2,677467.7,534187,662463.3,537680,452053.6,496567.5,611905.6,544814.3,366730.5,218496,275901.6,254063.6,238627.2,240700
BRA,24014456,23178730.4,21149727.4,23010980.2,20432022.8,18617032.8,15612391.2,15033824.9,12562932.9,11927635.2,11138653.6,10570095.2,9005188.9,7549818.4,6800292.9,7991325.6,9780456.3,11029477.6,11175951,11447982.7,12339895.1,12077095.8,11525035.2,11267342.9
BRB,1360.45578778135,1350.09778136655,1357.95148239997,1590.3656249493,1516.36367457588,1512.55792658136,1447.60702033932,1415.13088498972,1440.47281171608,1478.41747662195,1463.77024324658,1593.92264046158,1688.4817938191,1856.63241288559,1981.48570556093,2146.20495030263,1855.89246797025,2050.30334531369,1819.47251370135,1749.80866812195,1777.49679012297,1768.56040384156,1749.60054963446,1757.16007762786
BRN,1677.895471597,1693.84961499862,1732.38663379702,2063.96715296729,1999.60044999017,2014.90380730729,1947.68944554745,1915.79090928211,1976.09988610871,2036.81256671297,2035.63747089489,2234.89509018457,2389.02211253128,2657.01811738044,2867.57262318852,3151.29388829647,2754.53513667163,3068.28612515475,2761.01773058176,2676.53660385204,2746.47941529417,2757.23479626688,2758.05086643765,2796.86379137999
BTN,129609.2,162564,120291,83366.4,70080,48150.4,178550.4,40189.5,52715.2,32629.8,15775.9,14449.5,13026.9,8721,9544.8,8274,8538.6,7666.5,980.4,3551.8,4926.5,3798,3667.9,3099.6
BWA,500891.3,539311.5,525456,502233.6,471699.1,435603.2,378696.5,327485.4,295986.6,369281.4,333482.5,317289.7,349280.8,309982.4,294414.4,361556,338100.2,328758.5,316588.1,317403.8,316254.4,316215.9,301766.4,290879.2
CAF,2750913,2732545.7,2716537.1,2828102.4,2779297,2795217.1,2751049.4,2700945,2688686,2578542,2533260.6,2461800,2353733.1,3252600,3248542.5,3189019,3138620.8,3168585.9,3140346.4,3136417.4,3344803.7,3463860.8,3474364,3567065.6
CAN,76840,77562.5,75170.4,75907.2,76680,77491.2,81615,82550,83512.5,81096,85420,79437.4,87250,176280,85452,89872.5,90725,91560,92382.5,93200,94007.5,94810,95605,96392.5
CHE,0,0,0,729.2,1469.6,2223,3740.5,1512,5352.2,3094.8,3916,0,803.2,3253.2,2469,2496,2520.3,0,2563.2,2582.4,2601.3,2619.3,2636.7,2653.8
CHI,745.731320709777,747.286594852332,753.862771479395,888.733731589314,849.830191245822,850.123798151569,821.187982447033,796.969018261359,821.641531592568,840.251659375065,839.438132327791,913.243932791157,963.991378740692,1062.80724695218,1137.26116199448,1239.35778820293,1074.46406040383,1182.86731460405,1056.0574729875,1018.1813504403,1036.87312757173,1031.66023557425,1026.67532252855,1033.62357507521
CHL,889832.9,881909.5,864007.2,835820,643752.2,487639.4,341067.1,290241.6,283254,289458.8,224307.6,159522.9,114239.4,92553.9,84542.4,76376.6,66267,61387,81886.5,106354.6,114532.6,100467,99290.2,99952.7
CHN-R,487192906.2,466386732.8,438600346,393209653.2,337808889.6,270659732,257558552.8,240433084.2,229565875.4,207463385.6,181920927,134539092.8,112567440.4,34565848.8,23780715.2,12993028.4,9776097.1,7821792,5086611.2,1465497.8,1703363.2,856804.8,782653.5,660790
CHN-U,50273168.4,43957695.6,35429710,32475625,27896817.6,21636345.5,18192564,13957482,11887825,9516339,7162087.8,5318574.8,4200015.3,5278024.8,5128988.4,3334017.9,1911093.6,1715611.8,920724.2,513845.4,700060.8,357190.8,364032.4,277912.8
CIV,4709071.4,4803576,5048296.2,5809648,5982535.2,6360758.4,6586140,6962572.8,6711211.6,6895862.4,7026104.4,8688556.8,8389822.3,8008803.6,7802831.6,7729960.5,6051958.4,4390106.5,3539142.6,2752241.8,2624951.3,2693531.2,2703053.4,2533651.7
CMR,4534850.6,4026136.8,4259308,4461812.6,4556883.3,5067768.9,5435926.3,5779709,5851716.5,5940668.1,6007276.8,6874200,6544163.2,6145689,5706784,5679064.5,5618328.3,5724852,5794394.4,5859959.5,6222372.3,6251393.7,6372374.4,6371172.4
COD,43305212.4,44972544.2,46336583,47474082,48744468.5,49982187.9,50685145.2,50823660,50743506.5,52666955.1,51966824.2,51122171.9,49989081.3,48908512.8,48663892.2,49116586.2,51131158.4,52789660,53477583,54525893.6,58482567,59870662.4,61379456.6,61556136
COG,1659907.5,1707408.4,1722238.5,1800028,1852970,1842764.5,1703217.6,1984819.2,1936578,1897263.3,1698646.4,1789855.8,1605797.8,1695988.8,1666369.1,1814184,2158046,2363767.3,2625533.7,2784855,3109082.9,3026095.8,2998582.4,3005902.6
COL,7070700,8607690,5894909.6,5483975.2,5131152.4,4648916.4,4655383.2,4712625,4952690.6,4359936,3802010.4,3169598.1,3150403.2,2892657.3,2595105.6,2377640.4,2388862.3,2129464.4,2225880,2632080,3063420,2427648,2097821.6,2100963
COM,80378.6,82010,83244.7,85292.9,87487.4,93849.6,100947,109075.8,113595.3,117573.1,122613,125809.2,130826.8,133305.9,141477.6,148173.9,148374.4,147415.4,148761.6,152584.3,154942.7,158685.6,164167,167698.6
CPV,90088.5,90886.8,86964.8,82386,74599.2,67782.5,61296,53326.5,44230.8,41897.1,37020.8,35356.8,32484.8,30056,27351.3,24304.8,21546,19965.5,17894.2,15120,37365.3,32545.8,14084.4,12524.4
CRI,272002.5,203396.4,190148.4,194747.2,195114.2,141458.4,143920.6,79534,107206,111327.2,67735.4,80500,77738.5,77178.4,71845.8,75469.9,65083.8,57400.2,74790.3,52989.4,62545.6,63091.2,54367.4,52217
CUB,1497333.80389893,1473600.58133537,1392061.27017139,1355316.91206847,1235867.33433068,1170014.64855249,954093.134726965,904575.584293554,843388.317914169,800260.702466767,724409.873904398,673438.102144565,573037.137664739,514515.930759539,486744.159408652,477294.948444773,501908.962805673,498022.273252076,487545.03898595,492813.707311485,564211.722300455,507990.531503151,473366.37953649,465841.311010194
CUW,665.111718470882,652.630292837704,644.028460402927,748.407352917317,710.969048885393,712.116688062029,694.851369762874,689.684727341561,728.036800145313,765.798980696262,776.480272403206,850.848384588034,916.091186008235,1016.88347702214,1095.39878793333,1194.01543009794,1035.39264002551,1147.02285052514,1030.6103049637,993.793773184241,1012.18567215336,1007.096896632,1002.37531489474,1009.30302036756
CYM,211.626455877099,214.222157191002,224.66109083823,268.958892454661,261.058947637605,270.493935775499,263.201276425331,260.547563662367,275.613931483583,287.174617761098,293.803346314727,323.322386143453,347.276397310312,380.511236563125,411.646678267939,453.423581049852,397.226107179597,444.471354578491,394.431104368823,384.104341782866,394.999286693993,399.154257811464,394.875124049444,401.28915267626
CYP,849.6,864,879.3,893.7,909,102.8,209,319.2,108.2,1207.8,445.2,112.5,0,1144,921.6,348.3,468.4,353.7,237.8,1798.5,1812,1824,1836,1848
CZE,0,0,0,0,0,0,7209.3,12427.2,3126.9,1048.6,4214.4,5284.5,3176.1,5297.5,0,1060.3,0,0,1062.6,0,0,0,0,0
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205285,0,0,0,0,0,0
DJI,164193,169542.9,168223,171002.7,174251,178054.2,176694.9,174015.9,170525.6,176858.1,176922.9,171554.6,173468.9,223372.8,213043.2,202920.3,193315,182595.6,188956.8,174817.8,155700,149463.6,146901.2,141680.1
DMA,9265.18092269989,9220.7062388018,8686.42261650891,8436.83271185353,7788.61891864712,7361.84332215764,5912.40434055307,5681.60531536114,5294.4801566672,5020.18995185903,4602.26867741257,4270.14912852564,3624.90545702523,3245.87286556443,3063.42477949501,3040.09521302403,3192.69382056588,3208.85051986535,3140.2500552668,3216.23982321279,3680.92198786831,3357.44676878333,3086.0986148502,3076.46329829464
DNK,0,5893.8,12355.6,18315.8,16749.3,13555,7621.6,547,6047.8,27082.3,3333,0,0,17474.7,11328,10240.2,15993.6,8027.6,9783.5,14437.5,14492.5,14547.5,14607.5,14665
DOM,574577.3,447025.8,672115.2,780216,1056858.3,684461.7,586624.6,576892.8,525216.5,457142.4,383052.6,407096.2,390967.5,305375.4,349641.6,266383.7,216174.7,107670,91417.2,91266.8,101082.8,93109.4,86062.4,80010
DZA,1552963.2,1427958.4,1180615.5,1020694.5,827341.2,699048,608004,493920,383471,297906,234767,176731.2,157777.2,149522.1,140810.4,139548.5,134003.1,136352.7,134425.6,136572.8,160332.1,153891.5,147130.5,140054.9
ECU,3590424.7,2678356.8,2091520,1973565,2029051.8,1620730,1138392,1210266,1085044.8,1073912.1,848308,708765.9,687732,507416.4,419865.6,555353.6,586583,533662.5,558165.3,612215.8,726378.4,646502.4,606980,614754.8
EGY,1034608.8,1374681.1,1771196,2182469,2412224,2364762.4,2360401.8,2346341.5,2331475.2,1805983.5,1219566,841800.4,807879.6,835214.4,844679.6,853379.8,1330063.2,1921794.1,2404899.2,1912075.2,1451468.1,1214427.2,1149292.8,1091981.7
ERI,1910270.67458425,1934088.08194369,1969533.67594124,1990886.35130259,1947699.78480969,1933618.78461341,1922503.84691695,1905904.13878287,1884300.52766494,1895836.20770873,1847006.48297789,1831082.4885762,1812481.71492534,1797393.78157933,1782343.87342923,1825993.46902545,1851565.66637619,1860219.21931748,1866180.57107571,1890569.81515557,2003771.09146467,1905021.67675252,1927715.14850984,1967434.70233209
ESP,278147.2,298022.4,323292.2,345497.4,355478.2,325910.8,344382.5,163418.4,225390.2,376455.6,318165.2,530071.7,440455.8,532357.2,367523.8,417573,523732.4,315207.2,389734.8,366883.9,408848,399461.4,366749.6,366457.3
EST,20020,16982.4,18947.1,16201.4,7502,10983.6,11070,5779.2,5226,7476,10522.8,13024.2,9805,11360.6,10939.4,7890,6171.1,3537,3267.5,7302.4,7280,6225.6,6206.4,6187.2
ETH,36602003.7,35273380,39930067.2,38304288,29491404.8,26440124.2,26604327.4,26851500,27109991.5,27196454.4,27310714.2,27239217.5,27354179.6,27355922.1,27369582.6,27435113.1,25529067.9,22954314.6,20990832,19703151.5,17748266.6,15971913.6,15206772,14488920
FIN,0,1040.2,1563.9,2614,2096.8,3155.4,4221.6,3178.8,2659.5,2671,2683,2694.5,2706.5,4893.3,3821.3,3837.4,2751.5,3866.8,3325.2,2224.4,2232,2239.2,2246.8,2254
FJI,15834,14977.6,13708.8,14052.4,10552.2,10028.4,9439.2,9519,8682.9,9457.2,7912,5982.3,4807,3428.1,5138.8,6957.6,8710.6,8425.8,7569.6,9730.8,24116.4,30597,14788.8,9985.2
FRA,0,0,0,96880,30443,24493.6,18477.6,6196.1,6233,25075.2,56723.4,19002.9,38184,38352,12838.2,83794.1,38832.6,12996,13046.6,32740.5,32860.5,32977.5,33091.5,33202.5
FRO,236.820081576754,239.131710352746,239.638496894112,280.652757343994,266.613393332023,264.973651371918,252.673225368318,250.330012146196,254.81288005086,260.584375375811,257.077928025386,277.943805632091,293.388680486298,321.466389510226,341.876054832695,370.295924524046,325.595169819342,358.444640789106,318.089600297438,304.844715700688,308.593192729682,307.041736778049,309.825097331102,310.087072522564
FSM,9416,9212.7,9159.2,9159.2,9212.7,9073.6,10027.6,13891.5,18044,12656.8,13218.4,13225.2,14965.9,16671.2,17045.6,16411.2,16537.5,16175.6,16175.6,16328.2,17236.8,17472.7,17865.1,17793.3
GAB,56379.8,58178.2,66382.2,68524.8,74665.5,76884.4,93925,84277.4,99072,103472.4,92168,81456,74145.4,66320.5,61345.2,56549,53433,50017.5,53354.4,52092.3,62163.9,68452.8,73854,72142.8
GBR,147375,147872.5,148370,148952.5,149710,150715,139846.9,147396,155192.5,156807.5,158267.5,159530,154202.4,155138.4,162537.5,163492.5,164470,165452.5,332865,334795,336670,338495,340285,342025
GEO,1081338,1075027.2,586912.5,592980.5,560855.8,577925.6,558870.1,623522,540330,520134.4,607715.2,559048,438323.6,326836,244709.6,192808.8,192717.5,243717.6,217229.2,189344,150501.4,94478.4,98838,84169.8
GHA,9954338.4,10058135.9,10076072.5,9906571.5,9651921.3,9480634.2,9263554.6,9309270,8848960.2,8836939.1,8471347.2,7584331.8,7043122.1,6715595.4,6923841.6,7198902,7378951.2,7116231.2,6879610.5,6660466.1,7084187,7332103.8,7380149,7633810.5
GIB,156.200479337859,154.439229602815,159.758997929408,187.101838229329,177.742262221348,176.649100914612,168.448816912212,168.589600016826,171.608674319967,175.495599742893,173.134114792607,187.186644609368,203.575819112941,223.058311088728,237.220119679829,256.940029261583,221.404715477153,250.911248552374,222.662720208207,213.391300990481,216.015234910778,214.929215744634,212.625066795854,212.804853691956
GIN,4461252,4656846.1,4799666.1,4944541,4977080.4,5007914.6,5062036.3,4835453.3,4352598.4,4352651.1,4587450,3675758.5,2768357.4,2706345.6,2649266.4,2575383,2282103.6,2035991.7,1896455.6,1789972.8,1731250.9,1735530,1599487.5,1514496
GMB,683267.2,747348,855424,731971,659436.6,675792,680641.5,657614.7,609474.4,745544,499816.8,545937.5,466357.6,404332.5,372664.8,288839.7,299586,323974.2,325898.4,333086,380638,380196,382252.5,371654.4
GNB,635310.8,639454.9,688019.8,745704.5,782325,804708.7,847376.1,891748.2,938361.6,987610.8,1037696.4,789397.1,1003438.8,972700.6,837973,871332,642328.5,528524,476559.3,409934.7,496800,460595.2,453784,439305.6
GNQ,346247.116082909,353965.219457809,362952.249080483,369629.515196361,365919.239177772,368795.520270181,374476.892955786,380905.474401585,386831.362754744,399748.344422926,400114.616244185,406725.361708322,412885.003685032,418915.256768866,424367.588911722,442653.667444793,456632.339921636,464963.059947771,472660.229451328,484213.73796828,518649.144808417,497946.260062045,508490.454739874,523812.961417039
GRC,54595.8,57043.5,58328.4,56215,72128,38423.4,62359,56905,38828,72090.9,111026.2,127937.6,166133.4,108691.2,170101.5,153686.6,116313.6,97083.3,15598.8,76762.5,92146.6,79740,75099.2,74874.8
GRD,13562.0764230824,13435.8862336826,12657.3586697701,12414.1967045845,11298.9823749388,10679.8572138343,8699.68067252809,8242.32883777743,7755.29487737167,7353.51767596251,6711.64182122666,6227.30081243323,5336.66636728715,4778.64616319208,4510.04203647877,4414.38482987051,4723.43743316597,4683.1872452089,4583.06764822722,4674.26854306925,5349.60662236861,4815.28549733398,4567.4259499783,4493.25560671981
GRL,282.168607836132,278.986995411537,279.578246376465,333.275149345993,316.603404581777,314.656211004152,300.049455124877,291.200218210881,296.414982916306,303.12876319227,299.049834641775,323.322386143453,335.301349127197,367.390159440258,390.715491237366,430.75240199736,371.17849359405,408.626890499581,356.260352333131,341.42608158477,351.796239711838,350.027579926976,346.27510878182,346.567904584042
GTM,1119565,1178190,1257527,1333750,1410229.4,1482467.2,1560750.5,1523551.2,1500042.6,1601960.4,1609410,1587583.8,1592765.3,1551901.5,1515964.8,1384670.4,1338167.4,1314217.8,1281303.5,1228702.2,1330787.3,1138425.6,1081181.4,1081652
GUM,786.041121829225,782.159969278774,783.817583591159,917.968393812647,877.602419717907,872.204935765895,836.980059032553,812.295345535616,826.841794450749,850.88775632918,834.191644000742,901.899287663316,958.003854649135,1049.68616982931,1123.30703730743,1224.2436688346,1061.44025361105,1182.86731460405,1056.0574729875,1024.27824475431,1043.04499142633,1043.94190504537,1038.82532634546,1045.78385242904
GUY,88628.1,86856,86365,86856,84976,86740.5,78900,71039.7,69974.8,68987,67155.3,62541.5,57152.7,55334,53021.6,53299.2,49690.8,49339.5,49187.8,48479.2,36781.5,31959,25647.9,23849.1
HKG,33578.0643324997,33488.4032706492,33744.0958439022,39659.7427721731,37786.8940591198,37692.5019076553,36111.2151255554,35240.3351792747,36089.8242357748,37135.9325152916,36856.5804975171,40080.6312366603,42547.3461946047,46901.2901756859,50199.963561658,54758.4544714538,47556.4305038131,52798.8955882353,47261.7528121934,45671.835306277,46585.2283744728,46658.0623207924,46431.2395863061,46725.8657320766
HND,1370040,1327891.2,1509860,1864010,1831977.2,1848411.1,1594378.8,1205531.2,1199845.2,989912,1130910,1195863.2,1444999.5,1261470.6,1169835.2,1163137.8,1331409.3,1284129,1340039.1,1219090.6,1440355.8,1115197,1058796.9,1057056
HRV,3985.2,3526.4,1758,877.8,0,0,0,0,0,1302.3,0,27171.9,33946.3,31229.4,41728.4,24992.4,26120.6,21782.8,18326,10764,10701.6,9413.9,9358.7,9308.1
HTI,5740470,5895783.6,5930052,5966114.2,6045897,6032716.8,6041220,6025688.5,5990896.5,5874358.6,6054000,5996709.5,3003359.1,2952256,3005903.9,2904023.2,2772493.2,2657402,2637114.9,2812998.6,3080674.8,3114808.2,3230031.7,3391070.2
HUN,6132.6,0,0,2028.4,0,0,0,0,1998.2,5975.4,6948.9,8908.2,32571,17715.6,64772.4,61639.2,131665.5,59298.1,20346.9,28968,30787.2,28761,25787.7,25690.5
IDN-R,66104833.2,62864867,46826836,45344670.5,47124051,43581269.2,52761727,43870859.3,41715902.8,35159667.2,30768604.3,26220888,22858452.5,18042112,14428654.2,12317859.4,11473656.5,10078487.4,8534147.2,6987660.4,8274183.4,7747674,6173482.9,5114321.1
IDN-U,26131079.1,22667684,11456967.6,12981510.2,13286336,12290408,17541849.3,14962595.2,16722682,15005377.2,13497409.5,12344479.5,11319716.6,10121971.2,9198728,9042619.5,8162336.7,7402333.5,5948400.9,4813710,5967114.3,5652993.5,4612778.8,3836734.2
IMN,367.826935214958,363.679476161468,369.442682711757,438.51993334999,416.583427081285,425.061899075785,405.32996569501,393.375733372594,410.820765796284,420.125829687532,419.719066163895,459.458127677539,484.989451416125,537.964162037521,579.096174512524,627.235953785629,546.999885296494,602.186996525698,540.752320505645,518.236016691169,524.60842764046,534.252621993806,528.525166035409,535.052203568346
IND-R,372090938.5,371263357.3,373562355.4,372690508.7,369581424.8,360289355,353216260.8,342742589,333856588.2,327199804.8,297667623.6,243346020.6,223218369,216129856.8,207078888.6,196852644.5,181733812,142274720,108979184,112741461.3,141855602.4,98860213.5,77205883,68653768.3
IND-U,82743400,83639264.4,86000717,86965899.5,87880410,86663508.9,85622628,83331123.8,81687052.8,81820741.8,73179189,60501718.2,58214726.4,58962117.5,58157477.6,53461997.4,59625494.4,52330696.9,46630936,47135617.2,58696528.5,44216346,36555221,33996478.4
IRL,6928.2,8208.9,9542.4,5265,2064.5,842.6,17216,4398,8082,22383.2,24985.8,25180.2,15905.2,31837.6,18275.4,17390,6143.8,11426.4,0,2908.2,2932.8,2955.6,2977.2,2998.2
IRN,2281554,1798172.8,1182921.6,1094126.7,898072.2,753504.7,641043,597857.3,837717.5,1068476,872433.9,626575.3,458718,286509.5,541042.8,619008,561946,470745.4,647894.8,786790,794086,733479.6,637365,573580.3
IRQ,0,0,4987.8,392093.1,21053.6,24307.2,11078.8,11356,14556,20925.8,24610.4,25381.6,29498.4,23718.1,31506.3,28892,7440.6,11482.5,11802,8082.6,8300.6,8522.4,8747.2,8975
ISL,0,0,114,0,494.7,118,450,244.8,186.6,317,481.5,388.8,97.8,163.5,0,99,0,0,0,0,0,0,0,0
ISR,15035,15322.5,29947.2,29205.4,32345,31694.4,14861,33922.7,34065.6,35613.2,17079.8,17408.7,56972.6,35194.5,38910.9,39518.5,19658.4,38281.2,42265,42920,43570,44210,21525.6,21830.4
ITA,716175,626815.4,560679.4,447731.9,350970,382258.5,384013.5,403335.2,416514,542742.2,758558.3,693216,716808,817451.6,732895.5,1160328,968709,842912,865648.6,586238.4,597233.2,590380,583476.3,582446.7
JAM,63768,61571,57403.5,41764.8,32202.2,32379.2,28152,28305,28458,35610.8,37184.4,35941,37501.2,37646.4,36347.4,36474.4,36601.4,34113.8,34208.2,31966,53599.2,49623,42982.8,41870.4
JOR,17350.2,15062.6,12162.4,9174.9,6643.2,5142.6,5340.6,3715.8,648.9,1364.2,2872.8,3030,3196.8,3365.6,4404.5,9159,9456,9703,9903,10070,10209,10320,10405,10474
JPN,612163.2,613075.2,613934.4,614726.4,615427.2,616012.8,616478.4,616828.8,617040,308558.4,0,308412,629287.4,936684.9,935589.9,934217.5,932560.4,930633.2,928457.8,926041.5,923420.8,920595.7,917588.1,914383.4
KAZ,2049257.7,1926624,1342923.4,939814.4,510815.2,1345850.6,158479.1,61783.8,38402.4,38841.6,32798,11652.9,6768.4,5162.1,3497.6,7099.6,8993.5,7282,3680.8,3718.6,3755.4,3791.4,3826.2,1929.7
KEN,9762080,10378594.2,11561793.4,12406618.5,12956705,13236825.6,13401708.4,13482444,13682575.5,13833480.6,13872925,13956979.5,14045282.8,14107056.9,14120470,14109691.9,14461060.8,15441790,15876331.6,16479054,17984010.4,17108106.3,17138659.2,16455146.5
KGZ,1878837.8,1655656.8,1554385,1288084,583400.4,688677.5,429129.9,454037.5,174172.2,82770,190854.4,69388.2,147148.5,148920.8,60637.5,127857,67898.4,76771.5,45384.2,41038.8,88228,30633.6,25836,25482.6
